artist,track,release_title,release_year,label,release_id,duration
Afterlife,Show You Something (Chris Coco's Balearic Beats Mix),The Mix EP,2000,Hed Kandi,78683,6:34
Afterlife,Breather 2000 (Arithunda Mix),The Mix EP,2000,Hed Kandi,78683,6:02
Afterlife,Deeper (Into Places) (Silk Spinner Remix),The Mix EP,2000,Hed Kandi,78683,6:37
K-Scope (2),Firefly,Hed Kandi The Mix: Summer 2004,2004,Hed Kandi,359524,5:00
Funkstar De Luxe,When I Think Of You (Extended Version),Hed Kandi The Mix: Summer 2004,2004,Hed Kandi,359524,7:30
Bob Sinclar,I Feel For You (I Feel 4 Disco Mix),Hed Kandi The Mix: Summer 2004,2004,Hed Kandi,359524,5:00
Praise Cats,Sing (Club Mix),Hed Kandi The Mix: Summer 2004,2004,Hed Kandi,359524,5:30
Danny Howells & Dick Trevor,"Dusk Till Dawn (Shapeshifters 12"" Mix)",Hed Kandi The Mix: Summer 2004,2004,Hed Kandi,359524,7:30
Steven Tibet,We Are Family (Andrea T. Mendoza Vs Steven Tibet Original Mix),Hed Kandi The Mix: Summer 2004,2004,Hed Kandi,359524,6:00
Solu Music,Fade (Eric Kupper Remix),Hed Kandi The Mix: Summer 2004,2004,Hed Kandi,359524,6:45
Soul System,Feels So Good (Vocal Mix),Hed Kandi The Mix: Summer 2004,2004,Hed Kandi,359524,4:29
T-Jam,"Shame, Shame, Shame (Luis Radio 'Main Vocal Remix')",Hed Kandi The Mix: Summer 2004,2004,Hed Kandi,359524,5:44
Peyton,A Higher Place (Eric Kupper's Gospel Degree Vocal Mix),Hed Kandi The Mix: Summer 2004,2004,Hed Kandi,359524,5:46
StoneBridge,Put 'Em High (Dancing Divaz Remix),Hed Kandi The Mix: Summer 2004,2004,Hed Kandi,359524,5:30
Marly,You Never Know (LMC Dub),Hed Kandi The Mix: Summer 2004,2004,Hed Kandi,359524,5:05
Cicada,"Cut Right Through (12"" Mix)",Hed Kandi The Mix: Summer 2004,2004,Hed Kandi,359524,8:00
Deepest Blue,Is It A Sin (Cicada's Stadium Remix),Hed Kandi The Mix: Summer 2004,2004,Hed Kandi,359524,5:33
Solasso,Whatever (Keep Me Guessing),Hed Kandi The Mix: Summer 2004,2004,Hed Kandi,359524,5:44
Bonnie Bailey,Sweet Serendipity (Eric Kupper Extended Mix),Hed Kandi The Mix: Summer 2004,2004,Hed Kandi,359524,3:52
Erick Morillo,Break Down The Doors (DM Stereo Dub Mix),Hed Kandi The Mix: Summer 2004,2004,Hed Kandi,359524,7:00
Kujay Dada,Everything (Big Boom Mix),Hed Kandi The Mix: Summer 2004,2004,Hed Kandi,359524,6:03
Ferry Corsten,Rock Your Body Rock (Extended Mix),Hed Kandi The Mix: Summer 2004,2004,Hed Kandi,359524,5:22
Freestylers,Push Up (DJ Bomba & J Paolo Remix),Hed Kandi The Mix: Summer 2004,2004,Hed Kandi,359524,6:45
Armand Van Helden,"Hear My Name (Original 12"" Mix)",Hed Kandi The Mix: Summer 2004,2004,Hed Kandi,359524,6:15
Junior Jack,Stupidisco (Extended Original Version),Hed Kandi The Mix: Summer 2004,2004,Hed Kandi,359524,6:18
Therese,Time (StoneBridge Mix),Hed Kandi The Mix: Summer 2004,2004,Hed Kandi,359524,6:57
T-Empo,"Saturday Night, Sunday Morning (Original T-Empo Mix)",Hed Kandi The Mix: Summer 2004,2004,Hed Kandi,359524,7:31
Ann Consuelo,See The Day (StoneBridge Remix),Hed Kandi The Mix: Summer 2004,2004,Hed Kandi,359524,5:57
Raze,Break 4 Luv,Hed Kandi The Mix: Summer 2004,2004,Hed Kandi,359524,5:17
Lisa Shaw,Let It Ride (Speakeasy Remix),Hed Kandi The Mix : Winter 2004,2004,Hed Kandi,360643,5:02
Aya (3),Sean (Mig's Salted Vocal),Hed Kandi The Mix : Winter 2004,2004,Hed Kandi,360643,5:56
Fac 15,Blue Skies,Hed Kandi The Mix : Winter 2004,2004,Hed Kandi,360643,6:01
Late Night Alumni,Nothing Left To Say,Hed Kandi The Mix : Winter 2004,2004,Hed Kandi,360643,3:54
Dr. Kucho!,Lies To Yourself (Extended Mix),Hed Kandi The Mix : Winter 2004,2004,Hed Kandi,360643,6:30
"Salif Keita, Martin Solveig",Madan (Exotic Disco Mix),Hed Kandi The Mix : Winter 2004,2004,Hed Kandi,360643,5:48
"Moonlight, Azoto",San Salvador,Hed Kandi The Mix : Winter 2004,2004,Hed Kandi,360643,3:30
"Danny Marquez, Ferry B",Afrocatalans (Hardsoul Emocion Tropical Treatment),Hed Kandi The Mix : Winter 2004,2004,Hed Kandi,360643,6:37
Salomé De Bahia,Outro Lugar (Cutee B & Julian Jabre Mix),Hed Kandi The Mix : Winter 2004,2004,Hed Kandi,360643,6:09
Jerome Sydenham & Dennis Ferrer,Sandcastles (Pete Heller Re-Edit),Hed Kandi The Mix : Winter 2004,2004,Hed Kandi,360643,7:07
Richard F.,"Let The Sunshine Thru (Main 12"" Mix)",Hed Kandi The Mix : Winter 2004,2004,Hed Kandi,360643,6:19
Andy Caldwell,Give A Little (Moulton Studios Remix),Hed Kandi The Mix : Winter 2004,2004,Hed Kandi,360643,7:30
Who Da Funk,The Night (Vocal Mix),Hed Kandi The Mix : Winter 2004,2004,Hed Kandi,360643,4:45
Mirabeau (2),Back From Outta Space,Hed Kandi The Mix : Winter 2004,2004,Hed Kandi,360643,5:50
Peyton,Keep The Faith (Eric Kupper's Disco Mix),Hed Kandi The Mix : Winter 2004,2004,Hed Kandi,360643,6:15
David Morales,"How Would U Feel (12"" Vocal Mix)",Hed Kandi The Mix : Winter 2004,2004,Hed Kandi,360643,6:45
"Steve Anders, Andrea T. Mendoza",Can't Fake It (Andrea T. Mendoza Vs. Tibet Vocal),Hed Kandi The Mix : Winter 2004,2004,Hed Kandi,360643,5:30
