artist,track,release_title,release_year,label,release_id,duration
"Thunderpuss, Latanza Waters",Stand Up (E Smooth Soul Revival Remix),Disco Kandi 4,2001,Hed Kandi,52144,6:35
Deep Sensation,"Somehow, Somewhere (There's A Soul Heaven) (Cleptomaniac's Ghetto Anthem Mix)",Disco Kandi 4,2001,Hed Kandi,52144,5:55
"Jon Cutler, E-Man",It's Yours,Disco Kandi 4,2001,Hed Kandi,52144,6:05
Negrocan,Aquela Esquina (Grant Nelson Club Mix),Disco Kandi 4,2001,Hed Kandi,52144,6:45
"Warren Clarke, Kathy Brown",Over You (Main Mix),Disco Kandi 4,2001,Hed Kandi,52144,6:15
"Don Carlos, Taka Boom",Music Of The Mind (Original Mix),Disco Kandi 4,2001,Hed Kandi,52144,5:50
Kenny Bobien,You Gave Me Love (Degrees Of Hysteria Mix),Disco Kandi 4,2001,Hed Kandi,52144,6:40
"Full Intention, Shena",I'll Be Waiting (Gray & Pearn Club Mix),Disco Kandi 4,2001,Hed Kandi,52144,6:35
Soviente,"Copacabana (Escape From Rio) (Maurizio Nari ""Rio"" Rmx)",Disco Kandi 4,2001,Hed Kandi,52144,6:25
"Costantino ""Mixmaster"" Padovano, Isabel Fructuoso",Latin Session (Asi-Asi) (Mixmaster & StoneBridge Mix),Disco Kandi 4,2001,Hed Kandi,52144,6:55
Class A,Streetlife (Original Mix),Disco Kandi 4,2001,Hed Kandi,52144,5:50
"Soul Providers, Michelle Shellers",Rise (Bini & Martini Vocal Mix),Disco Kandi 4,2001,Hed Kandi,52144,6:45
Bastian,You've Got My Love,Disco Kandi 4,2001,Hed Kandi,52144,7:15
Spice,69 Overdrive (Timo Maas Mix),Disco Kandi 4,2001,Hed Kandi,52144,5:28
Roger Sanchez,Another Chance (Original Mix),Disco Kandi 4,2001,Hed Kandi,52144,7:30
Bel Amour,Bel Amour (Vocal Mix),Disco Kandi 4,2001,Hed Kandi,52144,5:24
Agent Sumo,24 Hours,Disco Kandi 4,2001,Hed Kandi,52144,6:30
Mutiny,Secrets (Rhythm Masters' Club Vocal Mix),Disco Kandi 4,2001,Hed Kandi,52144,6:46
Static Revenger,"Happy People (Original 12"" Mix)",Disco Kandi 4,2001,Hed Kandi,52144,7:22
The Ones,Flawless (Club Mix),Disco Kandi 4,2001,Hed Kandi,52144,7:37
Jakatta,American Dream (Club Mix),Disco Kandi 4,2001,Hed Kandi,52144,7:05
Clubbers International,I Love Clubbers (Club Mix),Disco Kandi 4,2001,Hed Kandi,52144,7:41
Future Force,What You Want (Mark's Epic Vocal),Disco Kandi 4,2001,Hed Kandi,52144,8:31
"Jask, Jocie",Beautiful (Jask's Original Mix),Disco Kandi 5,2001,Hed Kandi,52224,8:00
"Miguel Migs, Jay-J, Jo Jo Hailey","Friend Of The Blues (Original 12"" Mix)",Disco Kandi 5,2001,Hed Kandi,52224,6:40
Mademoiselle,Do You Love Me (Original Club Mix),Disco Kandi 5,2001,Hed Kandi,52224,7:00
"ATFC, Lisa Millett",Sleeptalk (Bad Nights Sleep Mix),Disco Kandi 5,2001,Hed Kandi,52224,7:10
Dubtribe Sound System,Do It Now (Knee Deep Club Mix),Disco Kandi 5,2001,Hed Kandi,52224,6:55
Mange Le Funk,I Still Want You (Liquid People Vox Mix),Disco Kandi 5,2001,Hed Kandi,52224,7:40
"Sea Flowers, Giada (3)",Easy Livin' (Cop 4 Turntable),Disco Kandi 5,2001,Hed Kandi,52224,6:35
Simpson Tune,Bring It Down (Da BMR's Club Rework),Disco Kandi 5,2001,Hed Kandi,52224,8:22
"Tom Novy, Lima",Now Or Never (Andy Van Madison Avenue Remix),Disco Kandi 5,2001,Hed Kandi,52224,5:36
George McCrae,Look At You (Camp Sunshine Club House Mix),Disco Kandi 5,2001,Hed Kandi,52224,6:20
Phats & Small,Change (Extended Mix),Disco Kandi 5,2001,Hed Kandi,52224,7:52
Gaspard,Good Enough (Full Version),Disco Kandi 5,2001,Hed Kandi,52224,6:47
Pussy 2000,It's Gonna Be Alright (Original 2001 Mix),Disco Kandi 5,2001,Hed Kandi,52224,6:55
Tim Deluxe,We All Love Sax,Disco Kandi 5,2001,Hed Kandi,52224,6:21
"Harry ""Choo Choo"" Romero",Night @ The Black (Main Mix),Disco Kandi 5,2001,Hed Kandi,52224,7:34
