artist,track,release_title,release_year,label,release_id,duration
Eric Prydz,Pjanoo,World Series: Ibiza,2008,Hed Kandi,1535145,6:00
Mark Knight & Funkagenda,Man With The Red Face,World Series: Ibiza,2008,Hed Kandi,1535145,4:53
"Axwell, Dirty South (2), Rudy Sandapa",Open Your Heart (Vocal Mix),World Series: Ibiza,2008,Hed Kandi,1535145,4:47
John Dahlbäck,Pyramid (Dirty South Remix),World Series: Ibiza,2008,Hed Kandi,1535145,4:45
Baggi Begovic,Break Of Dawn (Belocca & Soneec Vocal Remix),World Series: Ibiza,2008,Hed Kandi,1535145,6:00
"John Dahlbäck, Arno Cost",Golden Walls,World Series: Ibiza,2008,Hed Kandi,1535145,6:15
"Montana Express, Thomas Gold",To My Beat (Dub Mix),World Series: Ibiza,2008,Hed Kandi,1535145,5:23
Those Usual Suspects,Greece 2000 (D.O.N.S. & DBN Remix),World Series: Ibiza,2008,Hed Kandi,1535145,5:34
"Meck (2), Dino Lenny",So Strong (Inpetto Remix),World Series: Ibiza,2008,Hed Kandi,1535145,4:30
Wez Clarke,Nothing Is Real,World Series: Ibiza,2008,Hed Kandi,1535145,4:45
Yves Murasca,All About Housemusic,World Series: Ibiza,2008,Hed Kandi,1535145,5:53
Royal Music Paris,Spiritual Vibes (Live Element Mix),World Series: Ibiza,2008,Hed Kandi,1535145,4:00
"Carl Hanaghan, My Digital Enemy",Leyenda,World Series: Ibiza,2008,Hed Kandi,1535145,4:15
Muzzaik,Out Of Reach,World Series: Ibiza,2008,Hed Kandi,1535145,5:00
"The Montanas, Roland Clark",Music Talking (Fred Falke Remix),World Series: Ibiza,2008,Hed Kandi,1535145,3:58
Martin Solveig,I Want You (Laidback Luke Remix),World Series: Ibiza,2008,Hed Kandi,1535145,6:36
"Sharam Tayebi, Mario Vazquez",Get Wild,World Series: Ibiza,2008,Hed Kandi,1535145,6:43
"Milk & Sugar, Roxanne Wilde",No No No (Terrace Dub),World Series: Ibiza,2008,Hed Kandi,1535145,4:15
