artist,track,release_title,release_year,label,release_id,duration
Kym Sims,Too Blind To See It (Hurley's House Mix),Back To Love (Sampler Vol. 7),2001,Hed Kandi,16352,5:07
Chanelle,One Man (One Mix),Back To Love (Sampler Vol. 7),2001,Hed Kandi,16352,7:44
The Night Writers,Let The Music (Use You) (Original Mix),Back To Love (Sampler Vol. 7),2001,Hed Kandi,16352,8:10
Frankie Knuckles,Your Love,Back To Love (Sampler Vol. 7),2001,Hed Kandi,16352,6:45
Gat Decor,Passion Of Your Passion,Back To Love (Sampler Vol. 7),2001,Hed Kandi,16352,7:46
Orange Lemon,Dreams Of Santa Anna (Extended Club Mix),Back To Love (Sampler Vol. 7),2001,Hed Kandi,16352,8:18
Dan Hartman,"Vertigo / Relight My Fire (Original 12"" Version)",Back To Love (Sampler Vol. 7),2001,Hed Kandi,16352,9:41
KC Flightt,Planet E (Hip Hop Mix),Back To Love (Sampler Vol. 7),2001,Hed Kandi,16352,4:20
Turntable Orchestra,You're Gonna Miss Me (Original Mix),Back To Love 03.02,2002,Hed Kandi,46473,5:57
"Victor Romeo, Leatrice Brown",Love Will Find A Way,Back To Love 03.02,2002,Hed Kandi,46473,4:24
Ann Consuelo,See The Day (StoneBridge Mix),Back To Love 03.02,2002,Hed Kandi,46473,8:36
Aftershock,"Slave To The Vibe (12"" Club Mix)",Back To Love 03.02,2002,Hed Kandi,46473,8:00
Nightcrawlers,Push The Feeling On,Back To Love 03.02,2002,Hed Kandi,46473,6:37
Shawn Christopher,Don't Lose The Magic (David Morales Club Mix),Back To Love 03.02,2002,Hed Kandi,46473,8:25
"Djaimin, Alessandra",Give You (Mix 91 Dancefloor Syndromad Mix),Back To Love 03.02,2002,Hed Kandi,46473,7:45
House Of Virginism,I'll Be There For You (Doya Dododo Doya) (Stone's Glamarama Club Mix),Back To Love 03.02,2002,Hed Kandi,46473,6:14
Pulse (3),The Lover That You Are,Back To Love 03.02,2002,Hed Kandi,46473,7:30
Donna Giles,And I'm Telling You (Stonebridge Mix),Back To Love 03.02,2002,Hed Kandi,46473,6:50
Todd Terry,Weekend,Back To Love 03.02,2002,Hed Kandi,46473,5:44
Soul II Soul,Keep On Movin' (Club Mix),Back To Love 03.02,2002,Hed Kandi,46473,5:46
Fresh 4,Wishing On A Star,Back To Love 03.02,2002,Hed Kandi,46473,5:20
De La Soul,Eye Know (The Know It All Mix),Back To Love 03.02,2002,Hed Kandi,46473,6:30
Stetsasonic,Talkin' All That Jazz (Extended Vocal),Back To Love 03.02,2002,Hed Kandi,46473,6:40
