artist,track,release_title,release_year,label,release_id,duration
Art Department (2),Touch You Gently,Hed Kandi: Deep House,2012,Hed Kandi,3550798,8:05
Lee M Kelsall,On The Road (Matt Fear Remix),Hed Kandi: Deep House,2012,Hed Kandi,3550798,4:10
Storm Queen,It Goes On (Vox),Hed Kandi: Deep House,2012,Hed Kandi,3550798,6:26
PBR Streetgang,Downstroke,Hed Kandi: Deep House,2012,Hed Kandi,3550798,5:02
Infinity Ink,Games,Hed Kandi: Deep House,2012,Hed Kandi,3550798,6:14
Audiojack,Stay Glued (FCL Weemix),Hed Kandi: Deep House,2012,Hed Kandi,3550798,4:53
Hollis P. Monroe,I'm Lonely (Laura Jones Remix),Hed Kandi: Deep House,2012,Hed Kandi,3550798,5:19
Huxley,Let It Go,Hed Kandi: Deep House,2012,Hed Kandi,3550798,5:03
"John Monkman, Disco Stu (4)",Don't Have To Be Beautiful,Hed Kandi: Deep House,2012,Hed Kandi,3550798,4:23
Larse,So Long,Hed Kandi: Deep House,2012,Hed Kandi,3550798,3:27
"Superfunk, Ron Carroll",Lucky Star (Solomun Remix),Hed Kandi: Deep House,2012,Hed Kandi,3550798,6:11
DJ Eibhlin,Mo Fuaime,Hed Kandi: Deep House,2012,Hed Kandi,3550798,4:47
Damian Uzabiaga,Life Isn't Like That,Hed Kandi: Deep House,2012,Hed Kandi,3550798,4:00
M.A.N.D.Y. Vs. Booka Shade,Home (Tim Green Remix),Hed Kandi: Deep House,2012,Hed Kandi,3550798,5:30
Subb-an,This Place (Nic Fanciulli Remix),Hed Kandi: Deep House,2012,Hed Kandi,3550798,3:48
"DJ T., Khan",Leavin' Me (David August Remix),Hed Kandi: Deep House,2012,Hed Kandi,3550798,5:58
"Danny Daze, Matches",If This,Hed Kandi: Deep House,2012,Hed Kandi,3550798,5:55
Maceo Plex,Under The Sheets,Hed Kandi: Deep House,2012,Hed Kandi,3550798,4:24
"Russ Yallop, Wildkats",System Crank,Hed Kandi: Deep House,2012,Hed Kandi,3550798,6:43
"Métrika, Bastard Love",You Owe Me A Feeling,Hed Kandi: Deep House,2012,Hed Kandi,3550798,3:43
"Fosky, Shiva (30)",Shiva (Martinez Brothers Remix),Hed Kandi: Deep House,2012,Hed Kandi,3550798,6:21
So Phat!,A Love Bizarre (Solomun Remix),Hed Kandi: Deep House,2012,Hed Kandi,3550798,4:23
Jaded & James Petrou,Toni's Pain (No Artificial Colours Remix),Hed Kandi: Deep House,2012,Hed Kandi,3550798,3:42
"Kriss Darang, Jo Jo (11)",Check Me Out (No Artificial Colours Remix),Hed Kandi: Deep House,2012,Hed Kandi,3550798,4:13
"Noir, Richard Davis",Found Out,Hed Kandi: Deep House,2012,Hed Kandi,3550798,6:33
Life & Death,Morgana,Hed Kandi: Deep House,2012,Hed Kandi,3550798,4:19
Shur-i-kan,Going,Hed Kandi: Deep House,2012,Hed Kandi,3550798,5:29
Chez Damier,Can You Feel It (Steve Bug Re-Dub),Hed Kandi: Deep House,2012,Hed Kandi,3550798,4:09
Gerd,Palm Leaves (Deetron Remix),Hed Kandi: Deep House,2012,Hed Kandi,3550798,5:10
"Real Nice, Cubiq",Had Enough,Hed Kandi: Deep House,2012,Hed Kandi,3550798,6:10
"Lee Foss, Marc Kinchen, Anabel Englund",Electricity,Hed Kandi: Deep House,2013,Hed Kandi,4426372,4:25
Clean Bandit,A&E (Alexis Raphael Remix),Hed Kandi: Deep House,2013,Hed Kandi,4426372,6:40
Def:Play,Put You Down,Hed Kandi: Deep House,2013,Hed Kandi,4426372,4:31
Miguel Puente,Something Going On,Hed Kandi: Deep House,2013,Hed Kandi,4426372,4:29
Romanthony,Let Me Show You Love (Kevin McKay Remix),Hed Kandi: Deep House,2013,Hed Kandi,4426372,5:34
Tough Love (2),The Night Is Calling,Hed Kandi: Deep House,2013,Hed Kandi,4426372,6:00
