artist,track,release_title,release_year,label,release_id,duration
45 Dip,Lizzie's Balloon,The Acid Lounge,2000,Hed Kandi,16067,4:58
45 Dip,Geisha Vampire,The Acid Lounge,2000,Hed Kandi,16067,4:15
45 Dip,Auger In Orbit,The Acid Lounge,2000,Hed Kandi,16067,6:00
45 Dip,Green Tomatoes,The Acid Lounge,2000,Hed Kandi,16067,7:05
45 Dip,Beer Star,The Acid Lounge,2000,Hed Kandi,16067,5:04
45 Dip,Bug Juice,The Acid Lounge,2000,Hed Kandi,16067,3:49
45 Dip,Motorcity,The Acid Lounge,2000,Hed Kandi,16067,5:02
45 Dip,Searchin' For Marden Hill,The Acid Lounge,2000,Hed Kandi,16067,5:40
45 Dip,Parker Street Story,The Acid Lounge,2000,Hed Kandi,16067,5:40
45 Dip,Scar Culture,The Acid Lounge,2000,Hed Kandi,16067,4:33
45 Dip,Underwater,The Acid Lounge,2000,Hed Kandi,16067,3:42
45 Dip,A Man & A Woman,The Acid Lounge,2000,Hed Kandi,16067,4:33
The Rurals,So Alive,Deeper,2001,Hed Kandi,31574,7:35
Star Stern,Reality (Ra-Souls Classic Vocal Mix),Deeper,2001,Hed Kandi,31574,7:03
Lisa Shaw,"Always (Original 12"" Mix)",Deeper,2001,Hed Kandi,31574,7:02
"Andy Caldwell, Gina Rene",Quiet Nights (Original Mix),Deeper,2001,Hed Kandi,31574,7:41
Silent Poets,Save The Day (Restless Soul Peaktime Mix),Deeper,2001,Hed Kandi,31574,6:57
Aquanote,Only (Aquanote Original),Deeper,2001,Hed Kandi,31574,6:47
MJ Cole,Sincere (Naked Music Mig's Petalpusher Vocal Remix),Deeper,2001,Hed Kandi,31574,6:47
Limos,The Night (Goes On) (Dawn To Dusk Remix),Deeper,2001,Hed Kandi,31574,8:07
A:xus,When I Fall In Love (Stryke's Blue Vocal Techsture),Deeper,2001,Hed Kandi,31574,8:15
"New Phunk Theory, Kerry Green",Always (One In Four Mix),Deeper,2001,Hed Kandi,31574,7:10
"Laid, Emma Holmgren",Love Affair,Deeper,2001,Hed Kandi,31574,4:39
"Kings Of Tomorrow, Julie McKnight",Finally (Original Album Version),Deeper,2001,Hed Kandi,31574,5:12
Jaffa,Elevator (MAW Mix),Deeper,2001,Hed Kandi,31574,6:33
"Atlantis (4), Naomi N' Sembi",No More Excuses (Vocal Mix),Deeper,2001,Hed Kandi,31574,6:33
Dusted,Always Remember To Respect And Honour Your Mother Part One (Deep Dish Loves Their Motha Remix),Deeper,2001,Hed Kandi,31574,6:59
Urban Dwellers,Loverman (Sector 7G's Stalker Mix),Deeper,2001,Hed Kandi,31574,7:29
Matthias Heilbronn,"Arriba, Abajo ! (Deep Mix)",Deeper,2001,Hed Kandi,31574,7:36
Afterlife,Makes Me Feel (Fac 15 Black Sky Remix),Deeper,2001,Hed Kandi,31574,7:13
"Prince Quick Mix, Cica",The Flying Song (PQM's Amped Up Pass Remix),Deeper,2001,Hed Kandi,31574,6:30
"Rui Da Silva, Cassandra Fox",Touch Me,Deeper,2001,Hed Kandi,31574,7:30
Steve Lawler,Rise 'in (Original Vocal Mix),Deeper,2001,Hed Kandi,31574,7:58
Funky Green Dogs,Fired Up (Club 69's Future Mix),Deeper,2001,Hed Kandi,31574,7:26
"Panyard, Brian Royer",In The Sand,DJ Kandi,2001,Hed Kandi,62362,
Chichi Peralta,Un Dia Mas (Matty's II Deep Allstar Mix),DJ Kandi,2001,Hed Kandi,62362,
Butter Finger,Wanna Go Somewhere And Chill?,DJ Kandi,2001,Hed Kandi,62362,
Lacarno & Burns,We Love The Rain,DJ Kandi,2001,Hed Kandi,62362,
Paulo Rocha,Dreamwalker (Dancing In Our Sleep Mix),DJ Kandi,2001,Hed Kandi,62362,
Clan Greco,Rotation (Eric Kupper Remix),DJ Kandi,2001,Hed Kandi,62362,
Stephanie Cooke,Here With My Best Friend (Dance Ritual Mix),DJ Kandi,2001,Hed Kandi,62362,
Los Ladrones,Rocketta Al Sol (Ramblas Mix),DJ Kandi,2001,Hed Kandi,62362,
The Rurals,That Feelin' (Savannah Remix),DJ Kandi,2001,Hed Kandi,62362,
Afterlife,Cry (Sunset Dream Remix),DJ Kandi,2001,Hed Kandi,62362,
Fac 15,Stay With Me 'Til Dawn,DJ Kandi,2001,Hed Kandi,62362,
Anthea,Away 2 Always,Words & Beats,1999,Hed Kandi,92147,5:25
Anthea,I Wish,Words & Beats,1999,Hed Kandi,92147,4:52
Anthea,Deeper,Words & Beats,1999,Hed Kandi,92147,4:33
Anthea,He Said She Said,Words & Beats,1999,Hed Kandi,92147,4:25
Anthea,Don't Explain,Words & Beats,1999,Hed Kandi,92147,3:59
Anthea,Side Of Blue,Words & Beats,1999,Hed Kandi,92147,4:23
Anthea,Sentimental,Words & Beats,1999,Hed Kandi,92147,3:48
Anthea,Fingers,Words & Beats,1999,Hed Kandi,92147,3:56
Anthea,Can't Be You,Words & Beats,1999,Hed Kandi,92147,4:24
Anthea,Away 2 Always (Never Mix),Words & Beats,1999,Hed Kandi,92147,5:18
Anthea,Deeper (Down Beats),Words & Beats,1999,Hed Kandi,92147,4:34
Anthea,I Wish (Nu Funk Mix),Words & Beats,1999,Hed Kandi,92147,5:19
Anthea,Side Of Blue (Carlito's D 'n' B Mix),Words & Beats,1999,Hed Kandi,92147,5:39
Afterlife,Dub In Ya Mind (Blue Water Mix),Simplicity Two Thousand,2000,Hed Kandi,111164,5:49
Afterlife,Never Before,Simplicity Two Thousand,2000,Hed Kandi,111164,5:37
Afterlife,Show You Something,Simplicity Two Thousand,2000,Hed Kandi,111164,6:29
Afterlife,Cry (Brown Bear Mix),Simplicity Two Thousand,2000,Hed Kandi,111164,7:34
Afterlife,5th & Avenida,Simplicity Two Thousand,2000,Hed Kandi,111164,5:22
Afterlife,Borneo Is Burning,Simplicity Two Thousand,2000,Hed Kandi,111164,5:51
Afterlife,Glide,Simplicity Two Thousand,2000,Hed Kandi,111164,5:33
Afterlife,Breather (Original Version),Simplicity Two Thousand,2000,Hed Kandi,111164,5:18
Afterlife,La Nina,Simplicity Two Thousand,2000,Hed Kandi,111164,4:49
Afterlife,Blue Bar,Simplicity Two Thousand,2000,Hed Kandi,111164,7:07
Afterlife,Cry (Original Version),Simplicity Two Thousand,2000,Hed Kandi,111164,5:07
Afterlife,Dub In Ya Mind (The Insatiable Mix),Simplicity Two Thousand,2000,Hed Kandi,111164,4:36
Afterlife,Falling,Simplicity Two Thousand,2000,Hed Kandi,111164,5:39
Afterlife,Show You Something (Chris Coco Balearic Beats Mix),Simplicity Two Thousand,2000,Hed Kandi,111164,6:32
Afterlife,Lo Delta,Simplicity Two Thousand,2000,Hed Kandi,111164,5:39
Afterlife,Deeper - Into Places (Silk Spinner Remix),Simplicity Two Thousand,2000,Hed Kandi,111164,6:35
Afterlife,Cry (Spoon Wizard Mix),Simplicity Two Thousand,2000,Hed Kandi,111164,6:26
Afterlife,Show You Something (Ambient Mix),Simplicity Two Thousand,2000,Hed Kandi,111164,5:04
Rui Da Silva,Touch Me,Deeper 01.02 - A Twisted Journey Into The Darker Side Of House,2002,Hed Kandi,134199,7:30
Tedd Patterson,Magnifique (Magnified Mix),Deeper 01.02 - A Twisted Journey Into The Darker Side Of House,2002,Hed Kandi,134199,7:50
Mim Grey,Where Are You Now,Deeper 01.02 - A Twisted Journey Into The Darker Side Of House,2002,Hed Kandi,134199,8:20
Afterlife,Sunrise (Roger's Summer Solstice Mix),Deeper 01.02 - A Twisted Journey Into The Darker Side Of House,2002,Hed Kandi,134199,7:00
Kidstuff,Alright,Deeper 01.02 - A Twisted Journey Into The Darker Side Of House,2002,Hed Kandi,134199,7:15
Flip Flop,In Stereo (Superchumbo Mix),Deeper 01.02 - A Twisted Journey Into The Darker Side Of House,2002,Hed Kandi,134199,8:15
Robert Armani,Circus Bells (Hardfloor Remix),Deeper 01.02 - A Twisted Journey Into The Darker Side Of House,2002,Hed Kandi,134199,8:45
Bonnie Bailey,Rise,Hed Kandi Summer Mix 2003,2003,Hed Kandi,215585,4:05
