artist,track,release_title,release_year,label,release_id,duration
Eddie Amador,Rise (Italian Edit),Ministry Of Sound - The Annual - 1999-2000,2000,Ministry Of Sound,109313,4:36
"Armand Van Helden, Duane Harden",U Don't Know Me (Original Version),Ministry Of Sound - The Annual - 1999-2000,2000,Ministry Of Sound,109313,4:28
Pete Heller,Big Love (Original Version),Ministry Of Sound - The Annual - 1999-2000,2000,Ministry Of Sound,109313,3:53
"Nerio's Dubwork, Darryl Pandy",Sunshine & Happiness (Nerio's Dubwork Mix),Ministry Of Sound - The Annual - 1999-2000,2000,Ministry Of Sound,109313,4:09
Shaft,(Mucho Mambo) Sway (Knee Deep's Rhumba Club Mix),Ministry Of Sound - The Annual - 1999-2000,2000,Ministry Of Sound,109313,3:45
"Earth, Wind & Fire, Tiefschwarz",Boogie Wonderland 2K (Tiefschwarz Vocal Club Mix),Ministry Of Sound - The Annual - 1999-2000,2000,Ministry Of Sound,109313,2:12
Avant Garde,Get Down (Club X-Tended),Ministry Of Sound - The Annual - 1999-2000,2000,Ministry Of Sound,109313,5:09
Soulsearcher,Can't Get Enough (Tom Novy & Pufo Remix),Ministry Of Sound - The Annual - 1999-2000,2000,Ministry Of Sound,109313,4:31
"Faithless, Boy George",Why Go (Faithless Mix 1),Ministry Of Sound - The Annual - 1999-2000,2000,Ministry Of Sound,109313,5:41
Moby,Why Does My Heart Feel So Bad? (Sharp Roadster Club Edit),Ministry Of Sound - The Annual - 1999-2000,2000,Ministry Of Sound,109313,2:07
"Bob Marley, Funkstar De Luxe",Sun Is Shining (Funkstar Club Mix),Ministry Of Sound - The Annual - 1999-2000,2000,Ministry Of Sound,109313,2:57
"Tom Novy, Virginia (27)",I Rock (Black Out Mix),Ministry Of Sound - The Annual - 1999-2000,2000,Ministry Of Sound,109313,6:15
Paul van Dyk,Another Way (Club Mix),Ministry Of Sound - The Annual - 1999-2000,2000,Ministry Of Sound,109313,2:57
Dial M For Moguai,King Of Rock (Ranking Full Stop Mix),Ministry Of Sound - The Annual - 1999-2000,2000,Ministry Of Sound,109313,4:49
Da Hool,Wankers On Duty (Hands Up - Wankers Mix),Ministry Of Sound - The Annual - 1999-2000,2000,Ministry Of Sound,109313,3:18
Novy vs. Eniac,Pumpin' (Original),Ministry Of Sound - The Annual - 1999-2000,2000,Ministry Of Sound,109313,3:17
Yomanda,Synth & Strings (Original),Ministry Of Sound - The Annual - 1999-2000,2000,Ministry Of Sound,109313,2:55
Niels Van Gogh,Doppelgänger (Club Mix),Ministry Of Sound - The Annual - 1999-2000,2000,Ministry Of Sound,109313,1:30
Chicane,Saltwater (Original Mix),Ministry Of Sound - The Annual - 1999-2000,2000,Ministry Of Sound,109313,3:25
Kinky Roland,Born Funky '99,Ministry Of Sound - The Annual - 1999-2000,2000,Ministry Of Sound,109313,5:10
"Masters At Work, India",To Be In Love (Full Intention Club Edit),Ministry Of Sound - The Annual - 1999-2000,2000,Ministry Of Sound,109313,4:03
Paul Johnson,Get Get Down (Choo Choo's Subcriminal Mix),Ministry Of Sound - The Annual - 1999-2000,2000,Ministry Of Sound,109313,5:15
Tiefschwarz,Music (Original),Ministry Of Sound - The Annual - 1999-2000,2000,Ministry Of Sound,109313,1:57
Wamdue Project,You're The Reason (Roy Malone Liquid Mix),Ministry Of Sound - The Annual - 1999-2000,2000,Ministry Of Sound,109313,3:00
Triple X,Feel The Same (Joe Fandango Vocal Mix),Ministry Of Sound - The Annual - 1999-2000,2000,Ministry Of Sound,109313,2:00
"Powerhouse, Duane Harden",(I Got) What You Need (Full Intention Power Mix),Ministry Of Sound - The Annual - 1999-2000,2000,Ministry Of Sound,109313,4:02
Mr. Oizo,Flat Beat (Original Mix),Ministry Of Sound - The Annual - 1999-2000,2000,Ministry Of Sound,109313,3:19
Boogie Macs,Sugar Dum Dum (Original Mix),Ministry Of Sound - The Annual - 1999-2000,2000,Ministry Of Sound,109313,3:35
WestBam,Beatboxrocker (Dr. Rhythm's Pumping Club Mix),Ministry Of Sound - The Annual - 1999-2000,2000,Ministry Of Sound,109313,3:17
Mr. X & Mr. Y,New World Order (Original Club Mix),Ministry Of Sound - The Annual - 1999-2000,2000,Ministry Of Sound,109313,3:35
Mauro Picotto,Iguana (Mas Mix),Ministry Of Sound - The Annual - 1999-2000,2000,Ministry Of Sound,109313,2:10
The Chemical Brothers,Hey Boy Hey Girl (Album Mix),Ministry Of Sound - The Annual - 1999-2000,2000,Ministry Of Sound,109313,4:08
Schiller,Das Glockenspiel (Extended Mix),Ministry Of Sound - The Annual - 1999-2000,2000,Ministry Of Sound,109313,4:05
Blank & Jones,After Love (The Signum Remix),Ministry Of Sound - The Annual - 1999-2000,2000,Ministry Of Sound,109313,5:11
ATB,9 PM (Till I Come) (Matt Darey Remix),Ministry Of Sound - The Annual - 1999-2000,2000,Ministry Of Sound,109313,4:57
Alice Deejay,Better Off Alone (Signum Remix),Ministry Of Sound - The Annual - 1999-2000,2000,Ministry Of Sound,109313,3:56
Fatboy Slim,Praise You (Full Version),Ministry Of Sound - The Annual - 1999-2000,2000,Ministry Of Sound,109313,3:55
"Superfunk, Ron Carroll",Lucky Star (Mazi Remix),The Annual 2000 - Made In Germany,2000,Ministry Of Sound,295315,4:46
"Robbie Rivera, Rhythm Bangers",Bang (Original Mix),The Annual 2000 - Made In Germany,2000,Ministry Of Sound,295315,3:16
"Bob Sinclar, Frédéric Poulet",I Feel For You (Original Club Mix),The Annual 2000 - Made In Germany,2000,Ministry Of Sound,295315,4:23
Madison Avenue,"Don't Call Me Baby (12"" Mix)",The Annual 2000 - Made In Germany,2000,Ministry Of Sound,295315,2:38
Love Connection,The Bomb (Triple X Club Mix),The Annual 2000 - Made In Germany,2000,Ministry Of Sound,295315,2:00
"Tom Jones, Mousse T.",Sexbomb,The Annual 2000 - Made In Germany,2000,Ministry Of Sound,295315,4:20
"Tom Novy, Lima",Now Or Never (Extended Version),The Annual 2000 - Made In Germany,2000,Ministry Of Sound,295315,4:25
Spiller,Groovejet (If This Ain't Love) (Original Version),The Annual 2000 - Made In Germany,2000,Ministry Of Sound,295315,3:36
Lost 'N' Alive,Funky People (Funky Nassau) (Robbie Rivera Mix),The Annual 2000 - Made In Germany,2000,Ministry Of Sound,295315,2:17
Modjo,Lady (Original Mix),The Annual 2000 - Made In Germany,2000,Ministry Of Sound,295315,3:43
