artist,track,release_title,release_year,label,release_id,duration
Jean Élan,Clubbers Guide 2012 Intro,Clubbers Guide 2012 Mixed By Jean Elan,2012,Ministry Of Sound,5762149,
"R.I.O, U-Jean",Animal (Extended Mix),Clubbers Guide 2012 Mixed By Jean Elan,2012,Ministry Of Sound,5762149,
"Roni Meller, Dee Dee",The Day After (Will I Be Free) (Mike Candys & Jack Holiday Remix),Clubbers Guide 2012 Mixed By Jean Elan,2012,Ministry Of Sound,5762149,
Basto!,Again And Again (Extended Mix),Clubbers Guide 2012 Mixed By Jean Elan,2012,Ministry Of Sound,5762149,
"Jean Élan, CJ Stone",Freak Out (Club Mix),Clubbers Guide 2012 Mixed By Jean Elan,2012,Ministry Of Sound,5762149,
Helvetic Nerds,My Love (Original Mix),Clubbers Guide 2012 Mixed By Jean Elan,2012,Ministry Of Sound,5762149,
"Martin Solveig, Dragonette, Idoling!!!",Big In Japan (Denzal Park Remix),Clubbers Guide 2012 Mixed By Jean Elan,2012,Ministry Of Sound,5762149,
EDX,D.A.N.C.E. (Original Mix),Clubbers Guide 2012 Mixed By Jean Elan,2012,Ministry Of Sound,5762149,
"Swanky Tunes, Hard Rock Sofa",Phantom,Clubbers Guide 2012 Mixed By Jean Elan,2012,Ministry Of Sound,5762149,
The Ultimate Seduction,The Ultimate Seduction (Dabruck & Klein Remix),Clubbers Guide 2012 Mixed By Jean Elan,2012,Ministry Of Sound,5762149,
"Kaskade, Rebecca & Fiona",Turn It Down (Extended Mix),Clubbers Guide 2012 Mixed By Jean Elan,2012,Ministry Of Sound,5762149,
Markus Gardeweg,Comex,Clubbers Guide 2012 Mixed By Jean Elan,2012,Ministry Of Sound,5762149,
"Mike Candys, Evelyn (8), David Deen",Around The World (Original Mix),Clubbers Guide 2012 Mixed By Jean Elan,2012,Ministry Of Sound,5762149,
Devolution (3),Good Love (Alesso Remix),Clubbers Guide 2012 Mixed By Jean Elan,2012,Ministry Of Sound,5762149,
"Morten Hampenberg & Alexander Brown, Stine Bramsen",I Want You (To Want Me Back),Clubbers Guide 2012 Mixed By Jean Elan,2012,Ministry Of Sound,5762149,
Fragma,Tocas Miracle (Inpetto 2012 Update),Clubbers Guide 2012 Mixed By Jean Elan,2012,Ministry Of Sound,5762149,
"Benny Benassi, Gary Go",Cinema (Laidback Luke Remix),Clubbers Guide 2012 Mixed By Jean Elan,2012,Ministry Of Sound,5762149,
"Armin van Buuren, Adam Young",Youtopia (Tocadisco Remix),Clubbers Guide 2012 Mixed By Jean Elan,2012,Ministry Of Sound,5762149,
Duck Sauce,Big Bad Wolf (Dada Life Remix),Clubbers Guide 2012 Mixed By Jean Elan,2012,Ministry Of Sound,5762149,
"Bob Sinclar, Mr. Shammi",Not Gangsta (Fredelux Remix),Clubbers Guide 2012 Mixed By Jean Elan,2012,Ministry Of Sound,5762149,
"Francesco Diaz, Michael Feiner",Where Do You Go (Alex Kenji Remix),Clubbers Guide 2012 Mixed By Jean Elan,2012,Ministry Of Sound,5762149,
Fritz Kalkbrenner,Wes,Clubbers Guide 2012 Mixed By Jean Elan,2012,Ministry Of Sound,5762149,
"Dabruck & Klein, Ollie James",I Found Love (Tonka Remix),Clubbers Guide 2012 Mixed By Jean Elan,2012,Ministry Of Sound,5762149,
James Blunt,Dangerous (Deniz Koyu & Johan Wedel Remix),Clubbers Guide 2012 Mixed By Jean Elan,2012,Ministry Of Sound,5762149,
Ministers De-La-Funk,Gravy (Sympho Nympho Mix),Clubbers Guide 2012 Mixed By Jean Elan,2012,Ministry Of Sound,5762149,
"Farren Amani, Lucas Reyes, Terri Bjerre",Love It (Arone Clein Remix),Clubbers Guide 2012 Mixed By Jean Elan,2012,Ministry Of Sound,5762149,
"Graham Sahara, Central Venue",Drives Me Crazy (Club Mix),Clubbers Guide 2012 Mixed By Jean Elan,2012,Ministry Of Sound,5762149,
"E.P.I.C., Julie Thompson",Breathe (DJ Ortzy Remix),Clubbers Guide 2012 Mixed By Jean Elan,2012,Ministry Of Sound,5762149,
Maruja Retana,Right Through Me (Club Mix),Clubbers Guide 2012 Mixed By Jean Elan,2012,Ministry Of Sound,5762149,
"Mischa Daniëls, Sandro Monte, J-Son (2)",Simple Man,Clubbers Guide 2012 Mixed By Jean Elan,2012,Ministry Of Sound,5762149,
"Sonic Revolution, Dill (6)","Hey Baby, Hey Crazy (Original Mix)",Clubbers Guide 2012 Mixed By Jean Elan,2012,Ministry Of Sound,5762149,
"Tujamo, Robell Parker",Back 2 You (Original Mix),Clubbers Guide 2012 Mixed By Jean Elan,2012,Ministry Of Sound,5762149,
