artist,track,release_title,release_year,label,release_id,duration
"Sander Van Doorn, Mayaeni",Nothing Inside (Adam F Mix),Addicted To Bass Summer 2013 ,2012,Ministry Of Sound,25420705,
Hardwell,Spaceman (Drown The Fish Remix),Addicted To Bass Summer 2013 ,2012,Ministry Of Sound,25420705,
Cedric Gervais,Molly (Borgore Remix),Addicted To Bass Summer 2013 ,2012,Ministry Of Sound,25420705,
Tailor (2),Wolf (Escape Remix),Addicted To Bass Summer 2013 ,2012,Ministry Of Sound,25420705,
"Fresh, Dizzee Rascal",The Power (Andy C Remix),Addicted To Bass Summer 2013 ,2012,Ministry Of Sound,25420705,
Example,Say Nothing (TC Remix),Addicted To Bass Summer 2013 ,2012,Ministry Of Sound,25420705,
Unicorn Kid,Need U (Calverton Vocal Mix),Addicted To Bass Summer 2013 ,2012,Ministry Of Sound,25420705,
Adam F,When The Rain Is Gone,Addicted To Bass Summer 2013 ,2012,Ministry Of Sound,25420705,
"Matrix & Futurebound, Luke Bingham",All I Know (Seven Lions Mix),Addicted To Bass Summer 2013 ,2012,Ministry Of Sound,25420705,
"Above & Beyond, Richard Bedford",On My Way To Heaven (Seven Lions Remix),Addicted To Bass Summer 2013 ,2012,Ministry Of Sound,25420705,
"Kaskade, Skrillex",Lick It (Datsik Remix),Addicted To Bass Summer 2013 ,2012,Ministry Of Sound,25420705,
"DJ Tiësto, Mark Knight, Dino Lenny",Beautiful World (Torqux Remix),Addicted To Bass Summer 2013 ,2012,Ministry Of Sound,25420705,
"Laidback Luke, Martel (8)",We Are The Stars (La Fuente Remix),Addicted To Bass Summer 2013 ,2012,Ministry Of Sound,25420705,
"Savoy (7), Heather Bright",We Are The Sun (Savoy Remix),Addicted To Bass Summer 2013 ,2012,Ministry Of Sound,25420705,
"The Str8jackets, Sam Obernik",Love & Oxygen (Xilent Remix),Addicted To Bass Summer 2013 ,2012,Ministry Of Sound,25420705,
"Supafly, Shahin Badar",Happiness (Raff Riley Extended Mix),Addicted To Bass Summer 2013 ,2012,Ministry Of Sound,25420705,
Netsky,Love Has Gone,Addicted To Bass Summer 2013 ,2012,Ministry Of Sound,25420705,
