artist,track,release_title,release_year,label,release_id,duration
Sonique,Sky (Radio Edit),Cream Anthems 2001,2000,Ministry Of Sound,1187904,3:22
Zombie Nation,Kernkraft 400 (DJ Gius Remix),Cream Anthems 2001,2000,Ministry Of Sound,1187904,3:19
"Delerium, Sarah McLachlan",Silence (DJ Tiësto In Search Of Sunrise Remix),Cream Anthems 2001,2000,Ministry Of Sound,1187904,5:47
Fragma,Every Time You Need Me (Pulsedriver Mix),Cream Anthems 2001,2000,Ministry Of Sound,1187904,3:32
Goldenscan,Sunrise (DJ Tiësto Remix),Cream Anthems 2001,2000,Ministry Of Sound,1187904,3:19
Planet Perfecto,Bullet In The Gun 2000 (Solar Stone Remix),Cream Anthems 2001,2000,Ministry Of Sound,1187904,4:00
"Sasha, Darren Emerson","Scorchio (12"" Remix)",Cream Anthems 2001,2000,Ministry Of Sound,1187904,3:18
Moby,Honey (Rollo & Sister Bliss Edit),Cream Anthems 2001,2000,Ministry Of Sound,1187904,2:21
Paul van Dyk,We Are Alive (Vandit Vocal Mix),Cream Anthems 2001,2000,Ministry Of Sound,1187904,3:52
Sister Bliss,Sister Sister (Original Club Mix),Cream Anthems 2001,2000,Ministry Of Sound,1187904,2:35
Azzido Da Bass,Dooms Night (Dooms Night Club Mix),Cream Anthems 2001,2000,Ministry Of Sound,1187904,2:34
Jonah,Ssst...(Listen) (Original Mix),Cream Anthems 2001,2000,Ministry Of Sound,1187904,4:40
666,D.E.V.I.L. (Michael Woods Remix),Cream Anthems 2001,2000,Ministry Of Sound,1187904,2:49
CRW,Lovin' (Extended Remix),Cream Anthems 2001,2000,Ministry Of Sound,1187904,3:30
SuReal,You Take My Breath Away (Lange Mix),Cream Anthems 2001,2000,Ministry Of Sound,1187904,5:07
Marc Et Claude,I Need Your Lovin' (Like The Sunshine) (Ferry Corsten Remix),Cream Anthems 2001,2000,Ministry Of Sound,1187904,4:02
"Aurora, Naimee Coleman",Ordinary World (Extended Mix),Cream Anthems 2001,2000,Ministry Of Sound,1187904,5:06
DuMonde,Tomorrow (Lange Vocal Mix),Cream Anthems 2001,2000,Ministry Of Sound,1187904,3:42
"Mario Più, DJ Arabesque",The Vision (Original Mix),Cream Anthems 2001,2000,Ministry Of Sound,1187904,3:37
Fatboy Slim,Sunset (Bird Of Prey),Cream Anthems 2001,2000,Ministry Of Sound,1187904,4:08
Alan Braxe & Fred Falke,Intro (Club Mix),Cream Anthems 2001,2000,Ministry Of Sound,1187904,3:57
"Everything But The Girl, Soul Vision",Tracey In My Room (Lazy Dog Bootleg Vocal),Cream Anthems 2001,2000,Ministry Of Sound,1187904,3:51
Spiller,Groove Jet (If This Ain't Love) (Spiller's Extended Vocal Mix),Cream Anthems 2001,2000,Ministry Of Sound,1187904,3:51
Modjo,Lady (Hear Me Tonight) (Original Mix),Cream Anthems 2001,2000,Ministry Of Sound,1187904,3:33
Madison Avenue,Who The Hell Are You,Cream Anthems 2001,2000,Ministry Of Sound,1187904,2:41
Moloko,The Time Is Now (Francois K Vocal Mix),Cream Anthems 2001,2000,Ministry Of Sound,1187904,4:02
X-Press 2,AC/DC (Radio Edit),Cream Anthems 2001,2000,Ministry Of Sound,1187904,3:01
"Robbie Rivera, Rhythm Bangers",Bang,Cream Anthems 2001,2000,Ministry Of Sound,1187904,3:22
DJ Disciple,It's Easy (Class A Vocal Mix),Cream Anthems 2001,2000,Ministry Of Sound,1187904,3:38
Wicked Phunker,Jungle Boogie (Jungle's Party Remix),Cream Anthems 2001,2000,Ministry Of Sound,1187904,4:30
Terry Maxx,Anything Everything (Andy & The Lamboy's Funked Up Mix),Cream Anthems 2001,2000,Ministry Of Sound,1187904,4:10
Saints & Sinners,"Pushin Too Hard (Futureshock ""Confession"" Mix)",Cream Anthems 2001,2000,Ministry Of Sound,1187904,5:45
Laurent Garnier,The Man With The Red Face (Jan Driver Mix),Cream Anthems 2001,2000,Ministry Of Sound,1187904,4:21
"Timo Maas, Martin Bettinghaus",Ubik (The Dance),Cream Anthems 2001,2000,Ministry Of Sound,1187904,3:37
Groovezone,Eisbaer (Plastic Park Meets Alexander Purkart Remix),Cream Anthems 2001,2000,Ministry Of Sound,1187904,4:34
Mansun,I Can Only Disappoint U (Perfecto Club Mix),Cream Anthems 2001,2000,Ministry Of Sound,1187904,4:21
Slam,Positive Education (Slam's Special Edition Mix),Cream Anthems 2001,2000,Ministry Of Sound,1187904,3:02
Mauro Picotto,Komodo (Video Mix),Cream Anthems 2001,2000,Ministry Of Sound,1187904,2:35
Alan Braxe & Fred Falke,Intro,The Best Club Anthems 2001...Ever!,2000,Ministry Of Sound,1575619,3:28
Spiller,Groovejet (If This Ain't Love),The Best Club Anthems 2001...Ever!,2000,Ministry Of Sound,1575619,3:39
Kylie Minogue,On A Night Like This (Bini & Martini Club Mix),The Best Club Anthems 2001...Ever!,2000,Ministry Of Sound,1575619,2:46
Moloko,Sing It Back (Mousse T's Feel Love Mix),The Best Club Anthems 2001...Ever!,2000,Ministry Of Sound,1575619,4:05
Sonique,Sky,The Best Club Anthems 2001...Ever!,2000,Ministry Of Sound,1575619,3:41
"Delerium, Sarah McLachlan",Silence (Airscape Mix),The Best Club Anthems 2001...Ever!,2000,Ministry Of Sound,1575619,3:46
Azzido Da Bass,Doom's Night,The Best Club Anthems 2001...Ever!,2000,Ministry Of Sound,1575619,3:37
"Architechs, Nana",Body Groove (Zed Bias Dub Mix),The Best Club Anthems 2001...Ever!,2000,Ministry Of Sound,1575619,4:36
Scott & Leon,You Used To Hold Me,The Best Club Anthems 2001...Ever!,2000,Ministry Of Sound,1575619,3:05
