artist,track,release_title,release_year,label,release_id,duration
Silicone Soul,Right On! (Instrumental),Kiss Ibiza 2001,2001,Ministry Of Sound,115712,4:58
Sophie Ellis-Bextor,Take Me Home (Jewels & Stone Mix),Kiss Ibiza 2001,2001,Ministry Of Sound,115712,4:28
Roger Sanchez,"Another Chance (Extended 12"" Mix)",Kiss Ibiza 2001,2001,Ministry Of Sound,115712,6:01
Daft Punk,One More Time (Radio Edit),Kiss Ibiza 2001,2001,Ministry Of Sound,115712,5:09
Jamiroquai,Little L (Wounded Buffalo Mix (Edit)),Kiss Ibiza 2001,2001,Ministry Of Sound,115712,5:06
Basement Jaxx,Romeo,Kiss Ibiza 2001,2001,Ministry Of Sound,115712,3:16
Eddy Grant,Electric Avenue (Ringbang Remix By Peter Black),Kiss Ibiza 2001,2001,Ministry Of Sound,115712,3:06
Raven Maize,The Real Life (Original Mix),Kiss Ibiza 2001,2001,Ministry Of Sound,115712,2:48
"M&S, The Girl Next Door",Salsoul Nugget (If U Wanna) (M&S Radio Version),Kiss Ibiza 2001,2001,Ministry Of Sound,115712,3:21
"G-Club, Banda Sonora",Guitarra G (G Clubs Main Mix),Kiss Ibiza 2001,2001,Ministry Of Sound,115712,3:58
Gypsymen,Babarabatiri (Tee's Latin Mix),Kiss Ibiza 2001,2001,Ministry Of Sound,115712,2:28
Markus Nikolai,Bushes (Norman Cook Remix),Kiss Ibiza 2001,2001,Ministry Of Sound,115712,3:15
Kings Of Tomorrow,Finally (Original Mix),Kiss Ibiza 2001,2001,Ministry Of Sound,115712,3:01
"Mojolators, Camilla (32)",Drifting (Original Mix),Kiss Ibiza 2001,2001,Ministry Of Sound,115712,3:25
"Shortie, Black Legend",Somebody (Pete Clark Edit),Kiss Ibiza 2001,2001,Ministry Of Sound,115712,3:16
Shaft,Kiki Riri Boom (Kid Crème Mix),Kiss Ibiza 2001,2001,Ministry Of Sound,115712,4:22
Static Revenger,Happy People (Chocolate Puma Remix),Kiss Ibiza 2001,2001,Ministry Of Sound,115712,4:46
Jean Jacques Smoothie,2 People (Moloko's Makique Mix),Kiss Ibiza 2001,2001,Ministry Of Sound,115712,3:33
Depeche Mode,I Feel Loved (Danny Tenaglia's Labour Of Love Edit),Kiss Ibiza 2001,2001,Ministry Of Sound,115712,4:59
Chocolate Puma,I Wanna Be U (Original Mix),Kiss Ibiza 2001,2001,Ministry Of Sound,115712,3:22
Ian Van Dahl,Castles In The Sky (Radio Edit),Kiss Ibiza 2001,2001,Ministry Of Sound,115712,3:09
"Tall Paul, INXS",Precious Heart (Riva Mix),Kiss Ibiza 2001,2001,Ministry Of Sound,115712,3:39
Fragma,You Are Alive (Extended Version),Kiss Ibiza 2001,2001,Ministry Of Sound,115712,4:48
Da Hool,Meet Her At The Love Parade 2001 (Fergie Mix),Kiss Ibiza 2001,2001,Ministry Of Sound,115712,3:06
Kosheen,Hide U (John Creamer & Stephane K Radio Edit),Kiss Ibiza 2001,2001,Ministry Of Sound,115712,3:31
Fatboy Slim,Song For Shelter (The Chemical Brothers Remix),Kiss Ibiza 2001,2001,Ministry Of Sound,115712,5:06
Darude,Sandstorm (Superchumbo's Sandy Sandstorm),Kiss Ibiza 2001,2001,Ministry Of Sound,115712,4:30
Max Linen,The Soulshaker (Original Mix),Kiss Ibiza 2001,2001,Ministry Of Sound,115712,3:36
Zero 7,Destiny (Photek Remix),Kiss Ibiza 2001,2001,Ministry Of Sound,115712,4:02
The Ones,Flawless (Different Gear Remix),Kiss Ibiza 2001,2001,Ministry Of Sound,115712,3:09
Mutiny,The Virus (King Unique Snakecharmer Mix),Kiss Ibiza 2001,2001,Ministry Of Sound,115712,5:21
Planet Funk,Inside All The People (Deep Dish Ta Ta 80's Mix),Kiss Ibiza 2001,2001,Ministry Of Sound,115712,4:17
Orinoko,Island (Alternative Mix),Kiss Ibiza 2001,2001,Ministry Of Sound,115712,5:05
Safri Duo,Played-A-Live (The Bongo Song),Kiss Ibiza 2001,2001,Ministry Of Sound,115712,2:51
TJ Davis,Wonderful Life (Ian Van Dahl Remix),Kiss Ibiza 2001,2001,Ministry Of Sound,115712,4:18
Slusnik Luna,Sun (Original Mix),Kiss Ibiza 2001,2001,Ministry Of Sound,115712,2:38
Push,The Legacy (Club Mix),Kiss Ibiza 2001,2001,Ministry Of Sound,115712,4:28
DJ Tiësto,Suburban Train (Original Instrumental),Kiss Ibiza 2001,2001,Ministry Of Sound,115712,4:15
Mauro Picotto,Like This Like That (Hi-Gate Remix),Kiss Ibiza 2001,2001,Ministry Of Sound,115712,3:41
Fatboy Slim,Ya Mama (Radio Edit),Kiss Ibiza 2001,2001,Ministry Of Sound,115712,3:14
Leftfield,Fanfare Of Life,The Ultimate Chillout Ibiza Album,2004,Ministry Of Sound,947937,6:02
The Sabres Of Paradise,Smokebelch II (Beatless Mix),The Ultimate Chillout Ibiza Album,2004,Ministry Of Sound,947937,4:16
The Farm,All Together Now,The Ultimate Chillout Ibiza Album,2004,Ministry Of Sound,947937,5:41
The Shamen,Phorever People ((The Beatmasters Heavenly Edit)),The Ultimate Chillout Ibiza Album,2004,Ministry Of Sound,947937,3:45
A Man Called Adam,Love Forgotten,The Ultimate Chillout Ibiza Album,2004,Ministry Of Sound,947937,8:22
Prefuse 73,One Word Extinguisher,The Ultimate Chillout Ibiza Album,2004,Ministry Of Sound,947937,4:06
Basement Jaxx,Romeo (Acoustic Version),The Ultimate Chillout Ibiza Album,2004,Ministry Of Sound,947937,3:33
Moloko,Sing It Back (Herbert’s Tasteful Dub),The Ultimate Chillout Ibiza Album,2004,Ministry Of Sound,947937,6:00
Nightmares On Wax,What I’m Feeling (Rae & Christian Mix),The Ultimate Chillout Ibiza Album,2004,Ministry Of Sound,947937,6:29
Groove Armada,Fireside Favourite,The Ultimate Chillout Ibiza Album,2004,Ministry Of Sound,947937,4:23
Digby Jones,Idea 11,The Ultimate Chillout Ibiza Album,2004,Ministry Of Sound,947937,2:52
Burnie Ranking,Fire Truck Riddim,The Ultimate Chillout Ibiza Album,2004,Ministry Of Sound,947937,3:44
Michelle Shaprow,If I Lost You (King Britt Scuba Mix),The Ultimate Chillout Ibiza Album,2004,Ministry Of Sound,947937,8:47
Troubleman,Change Is What We Need,The Ultimate Chillout Ibiza Album,2004,Ministry Of Sound,947937,8:50
Tiefschwarz,Never,The Ultimate Chillout Ibiza Album,2004,Ministry Of Sound,947937,6:44
Zoot Woman,It’s Automatic,The Ultimate Chillout Ibiza Album,2004,Ministry Of Sound,947937,4:06
Raven Maize,Fascinated (Rodox Dub),The Ultimate Chillout Ibiza Album,2004,Ministry Of Sound,947937,7:17
Jaimeson,Complete,The Ultimate Chillout Ibiza Album,2004,Ministry Of Sound,947937,3:44
"Tiga, Jake Shears",Hot In Herre,The Ultimate Chillout Ibiza Album,2004,Ministry Of Sound,947937,3:52
Chungking,World Of A Thousand Suns,The Ultimate Chillout Ibiza Album,2004,Ministry Of Sound,947937,5:03
The Original Roots,Play Some Music For I,The Ultimate Chillout Ibiza Album,2004,Ministry Of Sound,947937,4:29
Static Revenger,Happy People (Christian J 'Rhodes Island Remix),The Ultimate Chillout Ibiza Album,2004,Ministry Of Sound,947937,4:48
"DJ Sammy, Yanou, Do",Heaven (Candlelight Mix),The Ultimate Chillout Ibiza Album,2004,Ministry Of Sound,947937,4:03
"Agnelli & Nelson, Aureas",Holding Onto Nothing (Chillout Remix),The Ultimate Chillout Ibiza Album,2004,Ministry Of Sound,947937,6:31
The Thrillseekers,Dreaming Of You (Tranquilo’s Ambient Mix),The Ultimate Chillout Ibiza Album,2004,Ministry Of Sound,947937,7:05
"Full Intention, Shena",I’ll Be Waiting (The Lux Sunset Edit),The Ultimate Chillout Ibiza Album,2004,Ministry Of Sound,947937,4:16
"Brother Brown, Frank'ee",Star Catching Girl,The Ultimate Chillout Ibiza Album,2004,Ministry Of Sound,947937,4:26
Seraphim Suite,Heart,The Ultimate Chillout Ibiza Album,2004,Ministry Of Sound,947937,3:25
Jamie Cullum,High And Dry,The Ultimate Chillout Ibiza Album,2004,Ministry Of Sound,947937,4:54
Crackpot,8 Little Sheep,The Ultimate Chillout Ibiza Album,2004,Ministry Of Sound,947937,4:13
Digby Jones,Under The Sea,The Ultimate Chillout Ibiza Album,2004,Ministry Of Sound,947937,5:55
Ikon (2),Vai E Vem,The Ultimate Chillout Ibiza Album,2004,Ministry Of Sound,947937,3:40
Carl Vega,Summer Lady,The Ultimate Chillout Ibiza Album,2004,Ministry Of Sound,947937,4:23
Kirsten Stoikev,Laura (Carl Vega Dub),The Ultimate Chillout Ibiza Album,2004,Ministry Of Sound,947937,6:12
Simon Burnett,Love From Rio (Simon’s Dub),The Ultimate Chillout Ibiza Album,2004,Ministry Of Sound,947937,4:57
"Contract Chillers, Smokin Roots",River Rock,The Ultimate Chillout Ibiza Album,2004,Ministry Of Sound,947937,3:49
