artist,track,release_title,release_year,label,release_id,duration
A Guy Called Gerald,Voodoo Ray (Remix),Classics,1997,Ministry Of Sound,6415,4:08
The 28th Street Crew,'O' (Original Mix),Classics,1997,Ministry Of Sound,6415,3:20
Sterling Void,It's Alright (House Mix),Classics,1997,Ministry Of Sound,6415,5:57
Mr. Lee,Get Busy (Lidell Townsell Mix),Classics,1997,Ministry Of Sound,6415,2:21
Clivillés & Cole,A Deeper Love (A Deeper Feeling Mix),Classics,1997,Ministry Of Sound,6415,7:08
Gat Decor,Passion (Original Mix),Classics,1997,Ministry Of Sound,6415,3:56
Nightcrawlers,Push The Feeling On (The Dub Of Doom),Classics,1997,Ministry Of Sound,6415,4:27
Marc Kinchen,Burning (MK 95 Mix),Classics,1997,Ministry Of Sound,6415,4:44
The Shamen,Progen (The Land Of Oz Mix),Classics,1997,Ministry Of Sound,6415,4:52
The Stone Roses,Fool's Gold,Classics,1997,Ministry Of Sound,6415,9:36
Jesus Loves You,After The Love (10 Glorious Years Mix),Classics,1997,Ministry Of Sound,6415,3:06
Renegade Soundwave,The Phantom,Classics,1997,Ministry Of Sound,6415,3:55
G.O.D.,Inside Your Mind,Classics,1997,Ministry Of Sound,6415,3:29
Nuyorican Soul,The Nervous Track (Ballsy Mix),Classics,1997,Ministry Of Sound,6415,2:53
Paperclip People,Throw,Classics,1997,Ministry Of Sound,6415,2:04
Joey Beltram,Energy Flash,Classics,1997,Ministry Of Sound,6415,3:05
Armand Van Helden,Witch Doktor (Original Mix),Classics,1997,Ministry Of Sound,6415,3:41
Marc Kinchen,Always (Helicopter Dub Mix),Classics,1997,Ministry Of Sound,6415,3:49
4th Measure Men,4 You (Jules And Skins Mix),Classics,1997,Ministry Of Sound,6415,4:16
DJ Duke,Blow Your Whistle,Classics,1997,Ministry Of Sound,6415,2:30
Ce Ce Peniston,"Finally (Choice 12"" Mix)",Classics,1997,Ministry Of Sound,6415,4:53
South Street Player,(Who?) Keeps Changing Your Mind (Club Mix),Classics,1997,Ministry Of Sound,6415,4:50
Voices,Voices In My Mind (Original Mix),Classics,1997,Ministry Of Sound,6415,4:29
