artist,track,release_title,release_year,label,release_id,duration
Archie Bell & The Drells,Strategy,Masterpiece: Created By Jazzie B (Soul II Soul),2008,Ministry Of Sound,2663854,6:31
Melba Moore,You Stepped Into My Life,Masterpiece: Created By Jazzie B (Soul II Soul),2008,Ministry Of Sound,2663854,7:34
Mystic Merlin,Mr. Magician,Masterpiece: Created By Jazzie B (Soul II Soul),2008,Ministry Of Sound,2663854,5:04
Harold Melvin And The Blue Notes,Bad Luck,Masterpiece: Created By Jazzie B (Soul II Soul),2008,Ministry Of Sound,2663854,6:35
El Coco,Let's Get Together,Masterpiece: Created By Jazzie B (Soul II Soul),2008,Ministry Of Sound,2663854,6:09
Lillo Thomas,I Love It,Masterpiece: Created By Jazzie B (Soul II Soul),2008,Ministry Of Sound,2663854,5:34
Dayton,Eyes On You (2004 Digital Remaster),Masterpiece: Created By Jazzie B (Soul II Soul),2008,Ministry Of Sound,2663854,6:44
One Way,I Didn't Mean To Break Your Heart,Masterpiece: Created By Jazzie B (Soul II Soul),2008,Ministry Of Sound,2663854,3:40
Creative Source,Good Loving Is Good Living,Masterpiece: Created By Jazzie B (Soul II Soul),2008,Ministry Of Sound,2663854,4:46
El Coco,Cocomotion,Masterpiece: Created By Jazzie B (Soul II Soul),2008,Ministry Of Sound,2663854,3:33
Serious Intention,You Don't Know,Masterpiece: Created By Jazzie B (Soul II Soul),2008,Ministry Of Sound,2663854,6:04
James Brown,"I Don't Want Nobody To Give Me Nothing (Open Up The Door, I'll Get It Myself) (Part 1 & 2)",Masterpiece: Created By Jazzie B (Soul II Soul),2008,Ministry Of Sound,2663854,3:01
Fred Wesley & The JB's,Blow Your Head,Masterpiece: Created By Jazzie B (Soul II Soul),2008,Ministry Of Sound,2663854,4:41
Pleasure (4),Glide,Masterpiece: Created By Jazzie B (Soul II Soul),2008,Ministry Of Sound,2663854,6:03
B.T. Express,Do You Like It,Masterpiece: Created By Jazzie B (Soul II Soul),2008,Ministry Of Sound,2663854,5:47
Kool & The Gang,Hollywood Swinging,Masterpiece: Created By Jazzie B (Soul II Soul),2008,Ministry Of Sound,2663854,3:25
Cameo,Rigor Mortis,Masterpiece: Created By Jazzie B (Soul II Soul),2008,Ministry Of Sound,2663854,2:58
Commodores,Brick House,Masterpiece: Created By Jazzie B (Soul II Soul),2008,Ministry Of Sound,2663854,3:14
'Sweet' Charles Sherrell,Soul Man,Masterpiece: Created By Jazzie B (Soul II Soul),2008,Ministry Of Sound,2663854,2:43
Thomas Stewart,Bump & Hustle Music (Luv N' Haight),Masterpiece: Created By Jazzie B (Soul II Soul),2008,Ministry Of Sound,2663854,4:48
Johnny Hammond,Tell Me What To Do,Masterpiece: Created By Jazzie B (Soul II Soul),2008,Ministry Of Sound,2663854,5:04
Windy City (2),Windy City (Theme),Masterpiece: Created By Jazzie B (Soul II Soul),2008,Ministry Of Sound,2663854,4:25
Nolen And Crossley,Salsa Boogie,Masterpiece: Created By Jazzie B (Soul II Soul),2008,Ministry Of Sound,2663854,3:59
Nitro Deluxe,The Brutal House,Masterpiece: Created By Jazzie B (Soul II Soul),2008,Ministry Of Sound,2663854,6:33
Adonis,No Way Back,Masterpiece: Created By Jazzie B (Soul II Soul),2008,Ministry Of Sound,2663854,4:00
"Frankie Knuckles, Jamie Principle",Baby Wants To Ride,Masterpiece: Created By Jazzie B (Soul II Soul),2008,Ministry Of Sound,2663854,7:37
2 In A Room,Do What You Want,Masterpiece: Created By Jazzie B (Soul II Soul),2008,Ministry Of Sound,2663854,6:34
Raze,Jack The Groove,Masterpiece: Created By Jazzie B (Soul II Soul),2008,Ministry Of Sound,2663854,5:58
Slick Rick,Children's Story,Masterpiece: Created By Jazzie B (Soul II Soul),2008,Ministry Of Sound,2663854,3:49
Cypress Hill,How I Could Just Kill A Man,Masterpiece: Created By Jazzie B (Soul II Soul),2008,Ministry Of Sound,2663854,3:54
Soul II Soul,Fairplay (Wookie Mix),Masterpiece: Created By Jazzie B (Soul II Soul),2008,Ministry Of Sound,2663854,4:52
"Wookie, Lain",Battle,Masterpiece: Created By Jazzie B (Soul II Soul),2008,Ministry Of Sound,2663854,3:42
"Wookie, Lain",After All (S2S Special),Masterpiece: Created By Jazzie B (Soul II Soul),2008,Ministry Of Sound,2663854,4:45
Soul II Soul,I Care (Kenny's House Mix),Masterpiece: Created By Jazzie B (Soul II Soul),2008,Ministry Of Sound,2663854,5:35
"Copyright, Jazzie B",Roots,Masterpiece: Created By Jazzie B (Soul II Soul),2008,Ministry Of Sound,2663854,4:47
The O'jays,For The Love Of Money,Masterpiece (Created By Fabio & Grooverider),2010,Ministry Of Sound,2597077,3:42
Willie Bobo,Always There,Masterpiece (Created By Fabio & Grooverider),2010,Ministry Of Sound,2597077,5:09
Gary Bartz,Music Is My Sanctuary,Masterpiece (Created By Fabio & Grooverider),2010,Ministry Of Sound,2597077,5:43
Faze-O,Riding High,Masterpiece (Created By Fabio & Grooverider),2010,Ministry Of Sound,2597077,5:18
Eumir Deodato,Whistle Bump,Masterpiece (Created By Fabio & Grooverider),2010,Ministry Of Sound,2597077,4:28
The Jacksons,Your Ways,Masterpiece (Created By Fabio & Grooverider),2010,Ministry Of Sound,2597077,4:27
Chaka Khan,"I Know You, I Live You",Masterpiece (Created By Fabio & Grooverider),2010,Ministry Of Sound,2597077,4:26
Slave,Watching You,Masterpiece (Created By Fabio & Grooverider),2010,Ministry Of Sound,2597077,4:34
Steve Arrington's Hall Of Fame,Way Out,Masterpiece (Created By Fabio & Grooverider),2010,Ministry Of Sound,2597077,4:22
Chic,Chic Cheer,Masterpiece (Created By Fabio & Grooverider),2010,Ministry Of Sound,2597077,4:27
Maze Featuring Frankie Beverly,Twilight,Masterpiece (Created By Fabio & Grooverider),2010,Ministry Of Sound,2597077,6:47
Tronikhouse,Uptempo (DJ Grooverider Mix),Masterpiece (Created By Fabio & Grooverider),2010,Ministry Of Sound,2597077,3:47
Neal Howard,To Be Or Not To Be,Masterpiece (Created By Fabio & Grooverider),2010,Ministry Of Sound,2597077,2:18
Petra & Co,Just Let Go,Masterpiece (Created By Fabio & Grooverider),2010,Ministry Of Sound,2597077,3:36
Mighty Dub Katz,It's Just Another Groove,Masterpiece (Created By Fabio & Grooverider),2010,Ministry Of Sound,2597077,2:44
D-Shake,Techno Trance,Masterpiece (Created By Fabio & Grooverider),2010,Ministry Of Sound,2597077,2:34
LFO,LFO (The Leeds Warehouse Mix),Masterpiece (Created By Fabio & Grooverider),2010,Ministry Of Sound,2597077,4:22
Leftfield,Not Forgotten,Masterpiece (Created By Fabio & Grooverider),2010,Ministry Of Sound,2597077,4:25
Doc Scott,Far Away,Masterpiece (Created By Fabio & Grooverider),2010,Ministry Of Sound,2597077,6:48
Tom And Jerry,Maximum Style,Masterpiece (Created By Fabio & Grooverider),2010,Ministry Of Sound,2597077,2:32
Dillinja,Angels Fell,Masterpiece (Created By Fabio & Grooverider),2010,Ministry Of Sound,2597077,1:50
Q Project,Ask Not V.I.P.,Masterpiece (Created By Fabio & Grooverider),2010,Ministry Of Sound,2597077,3:24
