artist,track,release_title,release_year,label,release_id,duration
Mighty Dub Katz,Let The Drums Speak (Manana),Ritmo De Bacardi Vol. 4,2003,Ministry Of Sound,6433970,3:29
La Fuerza Positiva,Senorita (Urban Magic Vocal),Ritmo De Bacardi Vol. 4,2003,Ministry Of Sound,6433970,4:30
Monkey Boie Rascal,Everybody (Wackside Tweaker Mix),Ritmo De Bacardi Vol. 4,2003,Ministry Of Sound,6433970,3:51
Africanism,Soldiers,Ritmo De Bacardi Vol. 4,2003,Ministry Of Sound,6433970,5:19
Tim Deluxe,It Just Won't Do (Wackside Rmx),Ritmo De Bacardi Vol. 4,2003,Ministry Of Sound,6433970,3:24
Africanism,Wintersong (Winter Dub),Ritmo De Bacardi Vol. 4,2003,Ministry Of Sound,6433970,3:18
DJ Gregory,Attend 1,Ritmo De Bacardi Vol. 4,2003,Ministry Of Sound,6433970,3:47
Major Boys,Panamerica (Milk & Sugar's Southamericana Rmx),Ritmo De Bacardi Vol. 4,2003,Ministry Of Sound,6433970,3:20
El Samah,Habibi (Derrick White Rmx),Ritmo De Bacardi Vol. 4,2003,Ministry Of Sound,6433970,1:56
Salif Keita,Madan,Ritmo De Bacardi Vol. 4,2003,Ministry Of Sound,6433970,2:10
Lee-Cabrera,Shake It (No Te Muevas Tanto),Ritmo De Bacardi Vol. 4,2003,Ministry Of Sound,6433970,3:39
"Junior Jack, Kid Crème, Private Tools",Tool #2,Ritmo De Bacardi Vol. 4,2003,Ministry Of Sound,6433970,4:43
Cricco Castelli,Everybody To The Sun,Ritmo De Bacardi Vol. 4,2003,Ministry Of Sound,6433970,6:00
"Damien J. Carter, Angie Brown",Never Say Never (Damien's Endless Summer Mix),Ritmo De Bacardi Vol. 4,2003,Ministry Of Sound,6433970,5:09
Jetlag,So Right (Axwell & BT's Essence Dub),Ritmo De Bacardi Vol. 4,2003,Ministry Of Sound,6433970,4:08
Milk & Sugar,Stay Around (Original Mix),Ritmo De Bacardi Vol. 4,2003,Ministry Of Sound,6433970,5:10
