artist,track,release_title,release_year,label,release_id,duration
"Benny Benassi, The Biz (5)",No Matter What You Do (G&M Project Remix),The Ultimate Hard House Album,2004,Ministry Of Sound,929428,5:48
DJ Sammy,The Boys Of Summer (Klubbheads Remix),The Ultimate Hard House Album,2004,Ministry Of Sound,929428,5:30
Divine Inspiration,The Way (Put Your Hand In My Hand) (Space Deejays Remix),The Ultimate Hard House Album,2004,Ministry Of Sound,929428,7:18
JX,Restless,The Ultimate Hard House Album,2004,Ministry Of Sound,929428,7:53
Paffendorf,Be Cool (Original Mix),The Ultimate Hard House Album,2004,Ministry Of Sound,929428,6:03
"DJ Misjah, DJ Tim",Access (KY Jelly Babies Mix),The Ultimate Hard House Album,2004,Ministry Of Sound,929428,7:21
Cosmic Gate,Fire Wire (Klubdoctorz Remix),The Ultimate Hard House Album,2004,Ministry Of Sound,929428,7:48
"Darren Styles, Mark Breeze, Infextious",Let Me Fly (Ilogik Remix),The Ultimate Hard House Album,2004,Ministry Of Sound,929428,6:16
"Public Domain, Chuck D",Rock Da Funky Beats,The Ultimate Hard House Album,2004,Ministry Of Sound,929428,7:56
Lost Witness,7 Colours (Jon Doe Remix),The Ultimate Hard House Album,2004,Ministry Of Sound,929428,7:36
BK,Revolution,The Ultimate Hard House Album,2004,Ministry Of Sound,929428,8:14
"Michael Woods, Warrior, Imogen Bailey",If U Want Me (Northstarz Remix),The Ultimate Hard House Album,2004,Ministry Of Sound,929428,6:17
Future Breeze,Temple Of Dreams (Instrumental Club Mix),The Ultimate Hard House Album,2004,Ministry Of Sound,929428,7:25
Jan Wayne,Because The Night (Extended Version),The Ultimate Hard House Album,2004,Ministry Of Sound,929428,6:16
Saint (3),Show Me Heaven (Friday Night Posse Remix),The Ultimate Hard House Album,2004,Ministry Of Sound,929428,7:06
Brooklyn Bounce,Loud & Proud,The Ultimate Hard House Album,2004,Ministry Of Sound,929428,7:16
The Sax Brothers,Careless Whisper (South East Players Mix),The Ultimate Hard House Album,2004,Ministry Of Sound,929428,6:13
"BM Dubs, Mr. Rumble, Brasstooth, Kee",Whoomp! ...There It Is (DJ Aligator Club Mix),The Ultimate Hard House Album,2004,Ministry Of Sound,929428,5:34
Novaspace,Time After Time (Sol Productions Remix),The Ultimate Hard House Album,2004,Ministry Of Sound,929428,6:13
Airhead (2),Dubble Bubble,The Ultimate Hard House Album,2004,Ministry Of Sound,929428,4:37
Tomcraft,Brainwashed (Call You) (DJ Choose & F's That Mucho Remix),The Ultimate Hard House Album,2004,Ministry Of Sound,929428,6:51
Slipmatt,Space,The Ultimate Hard House Album,2004,Ministry Of Sound,929428,6:09
"Matt Darey, Marcella Woods",U Shine On (Rezonance Q Remix),The Ultimate Hard House Album,2004,Ministry Of Sound,929428,6:07
Snap!,Rhythm Is A Dancer (Rezonance Q Remix),The Ultimate Hard House Album,2004,Ministry Of Sound,929428,6:02
Warrior,Warrior,The Ultimate Hard House Album,2004,Ministry Of Sound,929428,7:08
Jessy,Look At Me Now (Aldrich & Glennon Remix),The Ultimate Hard House Album,2004,Ministry Of Sound,929428,6:25
Neon 8,These Dreams (Harder Mix),The Ultimate Hard House Album,2004,Ministry Of Sound,929428,5:59
Sundance,Won't Let This Feeling Go (The Mudmen's Mad & Metal Mix),The Ultimate Hard House Album,2004,Ministry Of Sound,929428,7:32
Klaas Renger,Reach Out (Kris & Sy Remix),The Ultimate Hard House Album,2004,Ministry Of Sound,929428,6:27
Expandable,Kia (Extra Proof Mix),The Ultimate Hard House Album,2004,Ministry Of Sound,929428,5:20
Public Domain,Operation Blade,The Ultimate Hard House Album,2004,Ministry Of Sound,929428,8:22
Storm,Time To Burn (Ariel Remix),The Ultimate Hard House Album,2004,Ministry Of Sound,929428,6:26
Voodoo & Serano,Blood Is Pumpin',The Ultimate Hard House Album,2004,Ministry Of Sound,929428,7:44
Svenson & Gielen,The Beauty Of Silence,The Ultimate Hard House Album,2004,Ministry Of Sound,929428,9:39
Lock 'N Load,Blow Ya Mind,The Ultimate Hard House Album,2004,Ministry Of Sound,929428,6:33
Minimalistix,Magic Fly (Ultrabeat Remix),The Ultimate Hard House Album,2004,Ministry Of Sound,929428,6:26
Hi-Gate,Pitchin' (In Every Direction) (Original),The Ultimate Hard House Album,2004,Ministry Of Sound,929428,8:24
Decoy & Roy,Inner Life (Nord vs. Bonka Remix),The Ultimate Hard House Album,2004,Ministry Of Sound,929428,7:03
Pierre Van Helvig,Ghetto Blaster (Kris & Sy's Frisky Remix),The Ultimate Hard House Album,2004,Ministry Of Sound,929428,6:32
Fleece,Carnival,The Ultimate Hard House Album,2004,Ministry Of Sound,929428,4:30
Yomanda,You're Free (Synth Mix),The Ultimate Hard House Album,2004,Ministry Of Sound,929428,7:36
QFX,Freedom (Voodoo & Serano Remix),The Ultimate Hard House Album,2004,Ministry Of Sound,929428,7:36
Dee Dee,The One (Northstarz Remix),The Ultimate Hard House Album,2004,Ministry Of Sound,929428,7:15
Stuart,Free (Let It Be) (Rezonance Q Remix),The Ultimate Hard House Album,2004,Ministry Of Sound,929428,5:59
The Space Brothers,One More Chance (Rezonance Q Remix),The Ultimate Hard House Album,2004,Ministry Of Sound,929428,6:09
DJ Shog,Another World (Voodoo & Serano Radio Edit),The Ultimate Hard House Album,2004,Ministry Of Sound,929428,3:21
Boyos,Timewarp (2.22 - 3.33 Mix),The Ultimate Hard House Album,2004,Ministry Of Sound,929428,8:15
X-odus,I'm In Love Again (Kenny Hayes Remix),The Ultimate Hard House Album,2004,Ministry Of Sound,929428,6:02
Kris & Sy,Get Down (Original),The Ultimate Hard House Album,2004,Ministry Of Sound,929428,6:28
"Kris & Sy, Trixta",The Ultimate (Original),The Ultimate Hard House Album,2004,Ministry Of Sound,929428,6:15
Mauro Picotto,Pulsar (Original Tea Mix),The Ultimate Hard House Album,2004,Ministry Of Sound,929428,7:34
"Fergie, BK",Hoovers And Horns,The Ultimate Hard House Album,2004,Ministry Of Sound,929428,7:52
Tony De Vit,The Dawn,The Ultimate Hard House Album,2004,Ministry Of Sound,929428,8:42
Praga Khan,Injected With A Poison (BK & Nick Sentience Remix),The Ultimate Hard House Album,2004,Ministry Of Sound,929428,8:31
Norman Bass,How U Like Bass (Warp Brothers Club Mix),The Ultimate Hard House Album,2004,Ministry Of Sound,929428,7:43
Trevor & Simon,Hands Up (Fergie & BK Remix),The Ultimate Hard House Album,2004,Ministry Of Sound,929428,6:38
Flickman,The Sound Of Bamboo (Yomanda vs. Hi-Gate Mix),The Ultimate Hard House Album,2004,Ministry Of Sound,929428,7:34
Taiko,"Uno, Dos, Tres, Quatro (Die Blechtrommel) (Nick Sentience Remix)",The Ultimate Hard House Album,2004,Ministry Of Sound,929428,6:50
Mo-Dem,Contact (We Gotta Connect) (Warp Brothers Remix) [Shortened Edit],The Ultimate Hard House Album,2004,Ministry Of Sound,929428,7:49
Bad Habit Boys,Weekend (CJ Stone & George Dee Club Mix),The Ultimate Hard House Album,2004,Ministry Of Sound,929428,5:50
Kutski,Intro,Hard Dance Awards 2010 Euphoria,2010,Ministry Of Sound,15327916,1:01
FJ Project,Ex Pulse,Hard Dance Awards 2010 Euphoria,2010,Ministry Of Sound,15327916,1:58
Klonez,Attack Of The Klonez,Hard Dance Awards 2010 Euphoria,2010,Ministry Of Sound,15327916,4:34
