artist,track,release_title,release_year,label,release_id,duration
Alan Braxe & Fred Falke,Intro,The Best Club Anthems 2001...Ever!,2000,Ministry Of Sound,1575619,3:28
Spiller,Groovejet (If This Ain't Love),The Best Club Anthems 2001...Ever!,2000,Ministry Of Sound,1575619,3:39
Kylie Minogue,On A Night Like This (Bini & Martini Club Mix),The Best Club Anthems 2001...Ever!,2000,Ministry Of Sound,1575619,2:46
Moloko,Sing It Back (Mousse T's Feel Love Mix),The Best Club Anthems 2001...Ever!,2000,Ministry Of Sound,1575619,4:05
Sonique,Sky,The Best Club Anthems 2001...Ever!,2000,Ministry Of Sound,1575619,3:41
"Delerium, Sarah McLachlan",Silence (Airscape Mix),The Best Club Anthems 2001...Ever!,2000,Ministry Of Sound,1575619,3:46
Azzido Da Bass,Doom's Night,The Best Club Anthems 2001...Ever!,2000,Ministry Of Sound,1575619,3:37
"Architechs, Nana",Body Groove (Zed Bias Dub Mix),The Best Club Anthems 2001...Ever!,2000,Ministry Of Sound,1575619,4:36
Scott & Leon,You Used To Hold Me,The Best Club Anthems 2001...Ever!,2000,Ministry Of Sound,1575619,3:05
"True Steppers, Dane Bowers, Victoria Beckham",Out Of Your Mind,The Best Club Anthems 2001...Ever!,2000,Ministry Of Sound,1575619,3:20
Spice Girls,Holler (MAW Remix),The Best Club Anthems 2001...Ever!,2000,Ministry Of Sound,1575619,5:29
Lucy Pearl,Don't Mess With My Man (Mood II Swing Edit),The Best Club Anthems 2001...Ever!,2000,Ministry Of Sound,1575619,3:36
Madison Avenue,Who The Hell Are You?,The Best Club Anthems 2001...Ever!,2000,Ministry Of Sound,1575619,3:25
"Grace Jones, Funkstar De Luxe",Pull Up To The Bumper,The Best Club Anthems 2001...Ever!,2000,Ministry Of Sound,1575619,3:19
"CZR, Delano (2)",I Want You,The Best Club Anthems 2001...Ever!,2000,Ministry Of Sound,1575619,3:06
Georgie Porgie,Life Goes On,The Best Club Anthems 2001...Ever!,2000,Ministry Of Sound,1575619,3:26
"Cevin Fisher, Sheila Smith",Love You Some More (Steve Lawler's Flight To Atlanta Mix),The Best Club Anthems 2001...Ever!,2000,Ministry Of Sound,1575619,7:20
Darude,Feel The Beat,The Best Club Anthems 2001...Ever!,2000,Ministry Of Sound,1575619,3:17
Storm,Time To Burn,The Best Club Anthems 2001...Ever!,2000,Ministry Of Sound,1575619,2:52
666,D.E.V.I.L.,The Best Club Anthems 2001...Ever!,2000,Ministry Of Sound,1575619,3:32
Jonah,Ssst... (Listen),The Best Club Anthems 2001...Ever!,2000,Ministry Of Sound,1575619,2:49
Porn Kings,Sledger,The Best Club Anthems 2001...Ever!,2000,Ministry Of Sound,1575619,2:49
CRW,Lovin',The Best Club Anthems 2001...Ever!,2000,Ministry Of Sound,1575619,3:29
Mauro Picotto,Komodo (Save A Soul),The Best Club Anthems 2001...Ever!,2000,Ministry Of Sound,1575619,2:33
Paul van Dyk,We Are Alive,The Best Club Anthems 2001...Ever!,2000,Ministry Of Sound,1575619,3:01
Quo Vadis,Sonic Boom (Life's Too Short),The Best Club Anthems 2001...Ever!,2000,Ministry Of Sound,1575619,2:58
Element Four,Big Brother UK TV Theme,The Best Club Anthems 2001...Ever!,2000,Ministry Of Sound,1575619,3:17
"Aurora, Naimee Coleman",Ordinary World,The Best Club Anthems 2001...Ever!,2000,Ministry Of Sound,1575619,4:17
Planet Perfecto,Bullet In The Gun 2000,The Best Club Anthems 2001...Ever!,2000,Ministry Of Sound,1575619,3:07
SuReal,You Take My Breath Away,The Best Club Anthems 2001...Ever!,2000,Ministry Of Sound,1575619,3:27
Fragma,Toca's Miracle,The Best Club Anthems 2001...Ever!,2000,Ministry Of Sound,1575619,3:17
Goldenscan,Sunrise,The Best Club Anthems 2001...Ever!,2000,Ministry Of Sound,1575619,4:22
Slam,Positive Education,The Best Club Anthems 2001...Ever!,2000,Ministry Of Sound,1575619,3:32
Salt Tank,Eugina (DJ Tiësto Remix),The Best Club Anthems 2001...Ever!,2000,Ministry Of Sound,1575619,5:25
Mansun,I Can Only Disappoint You (Perfecto Club Mix),The Best Club Anthems 2001...Ever!,2000,Ministry Of Sound,1575619,5:16
Moby,Porcelain (Futureshock Mix),The Best Club Anthems 2001...Ever!,2000,Ministry Of Sound,1575619,4:57
"Alex Gaudino, Crystal Waters",Destination Calabria (Club Mix),Club Files Vol. 1,2007,Ministry Of Sound,1680143,4:44
Max The Voice,Katana (Original Sax Mix),Club Files Vol. 1,2007,Ministry Of Sound,1680143,5:34
"Meck (2), Dino Lenny",Feels Like Home ( Vs. Dirty South Dub),Club Files Vol. 1,2007,Ministry Of Sound,1680143,5:17
"Kortezman, Rozalla",Everybody's Free (Yohanne Simon Remix),Club Files Vol. 1,2007,Ministry Of Sound,1680143,5:21
"Dada, Sandy Rivera, Trix (8)",Lollipop (Plastik Funk Remix),Club Files Vol. 1,2007,Ministry Of Sound,1680143,5:11
Corenell,Keep On Jumping (OG Mix),Club Files Vol. 1,2007,Ministry Of Sound,1680143,5:32
City Sneakerz,You Don’t Own Me (Vocal Club Mix),Club Files Vol. 1,2007,Ministry Of Sound,1680143,5:26
"DJ Tiësto, Christian Burns",In The Dark (Dirty South Remix),Club Files Vol. 1,2007,Ministry Of Sound,1680143,5:29
"Funkerman, Fedde Le Grand, F To The F",Wheels In Motion (Original Mix),Club Files Vol. 1,2007,Ministry Of Sound,1680143,5:06
"Soulcast (2), Indian Princess",Someone Like Me (Ian Carey Club Mix),Club Files Vol. 1,2007,Ministry Of Sound,1680143,5:32
"Bob Sinclar, Gary ""Nesta"" Pine, Dollarman",Sound Of Freedom (Club Mix),Club Files Vol. 1,2007,Ministry Of Sound,1680143,5:00
Comiccon,Komodo (Club Mix),Club Files Vol. 1,2007,Ministry Of Sound,1680143,5:00
"Michael Mind, Manfred Mann's Earth Band",Blinded By The Light (Electro Remix),Club Files Vol. 1,2007,Ministry Of Sound,1680143,5:08
Bob Sinclar,Everybody Movin’ (Kurd Maverick & Eddie Thoneick Remix),Club Files Vol. 1,2007,Ministry Of Sound,1680143,5:23
Yves Larock,Rise Up (Original),Club Files Vol. 1,2007,Ministry Of Sound,1680143,5:19
Weekend Warriors,Endless (Weekend Mix),Club Files Vol. 1,2007,Ministry Of Sound,1680143,5:01
Run Run (2),To Party (Favi Club Mix),Club Files Vol. 1,2007,Ministry Of Sound,1680143,5:22
"Starting Rock, Diva Avari",Don’t Go (Club Mix),Club Files Vol. 1,2007,Ministry Of Sound,1680143,5:09
Tom Novy,My House (Plastik Funk Remix),Club Files Vol. 1,2007,Ministry Of Sound,1680143,4:47
"Simone Anés, Nicole Tyler",Where I Belong (Jean Claude Ades Rmx),Club Files Vol. 1,2007,Ministry Of Sound,1680143,4:59
Spektrum,Kinda New (Dirty South Club Mix),Club Files Vol. 1,2007,Ministry Of Sound,1680143,4:55
"ASBO, Katherine Ellis",Let The Beat Hit 'Em (Extended Mix),Club Files Vol. 1,2007,Ministry Of Sound,1680143,5:28
"Lexy & K-Paul, Dorian E.",Wide Road (Original Mix),Club Files Vol. 1,2007,Ministry Of Sound,1680143,5:25
David Vendetta,Love To Love You Baby,Club Files Vol. 1,2007,Ministry Of Sound,1680143,5:21
"Bob Sinclar, Gary ""Nesta"" Pine, Dollarman",Sound Of Freedom,Club Files Vol. 1,2007,Ministry Of Sound,1680143,
"Alex Gaudino, Crystal Waters",Destination Calabria,Club Files Vol. 1,2007,Ministry Of Sound,1680143,
"Michael Mind, Manfred Mann's Earth Band",Blinded By The Light,Club Files Vol. 1,2007,Ministry Of Sound,1680143,
"Meck (2), Dino Lenny",Feels Like Home,Club Files Vol. 1,2007,Ministry Of Sound,1680143,
"Starting Rock, Diva Avari",Don’t Go,Club Files Vol. 1,2007,Ministry Of Sound,1680143,
"Mason, Princess Superstar",Perfect (Exceeder),Club Files Vol. 1,2007,Ministry Of Sound,1680143,
"Nena Kerner, Oliver Pocher, Stephan Remmler",Ich Kann Nix Dafür,Club Files Vol. 1,2007,Ministry Of Sound,1680143,
Corenell,Keep On Jumping,Club Files Vol. 1,2007,Ministry Of Sound,1680143,
"Eric Prydz, Pink Floyd",Proper Education,Club Files Vol. 1,2007,Ministry Of Sound,1680143,
"DJ Tiësto, Christian Burns",In The Dark,Club Files Vol. 1,2007,Ministry Of Sound,1680143,
"Lexy & K-Paul, Dorian E.",Wide Road,Club Files Vol. 1,2007,Ministry Of Sound,1680143,
Therese,Feelin’ Me,Club Files Vol. 1,2007,Ministry Of Sound,1680143,
Freeform Five,No More Conversations,Club Files Vol. 1,2007,Ministry Of Sound,1680143,
Samim Winiger,Heater (Album Version),Club Files Vol. 2,2007,Ministry Of Sound,5222786,4:57
"Robyn, Kleerup",With Every Heartbeat (Steve Angello Dub),Club Files Vol. 2,2007,Ministry Of Sound,5222786,4:40
"David Guetta, Chris Willis",Love Is Gone (Original Extended),Club Files Vol. 2,2007,Ministry Of Sound,5222786,5:02
"Paul Van Dyk, Jessica Sutta",White Lies (Dave Spoon Mix),Club Files Vol. 2,2007,Ministry Of Sound,5222786,4:47
CJ Stone,Be Loved (CJ Stone Meets Daagard & Morane Mix),Club Files Vol. 2,2007,Ministry Of Sound,5222786,5:13
Axwell,I Found U (Tocadisco Rmx),Club Files Vol. 2,2007,Ministry Of Sound,5222786,4:50
"Trick & Kubic, Valeska (4)",Believe (Original Mix),Club Files Vol. 2,2007,Ministry Of Sound,5222786,5:09
"DJ Tiësto, BT",Break My Fall (Richard Durand Rmx),Club Files Vol. 2,2007,Ministry Of Sound,5222786,4:42
Yanou,Sun Is Shining (Spencer & Hill Rmx),Club Files Vol. 2,2007,Ministry Of Sound,5222786,4:57
