artist,track,release_title,release_year,label,release_id,duration
"Laidback Luke, Example",Natural Disaster (Skream Remix),The Sound Of Dubstep Darker,2011,Ministry Of Sound,4143647,4:43
Funtcase,Gorilla Flex (Roksonix King Kong Remix),The Sound Of Dubstep Darker,2011,Ministry Of Sound,4143647,5:22
"Fatboy Slim, JFB",Praise You (JFB Remix),The Sound Of Dubstep Darker,2011,Ministry Of Sound,4143647,5:38
"Zed Bias, Skream",Badness,The Sound Of Dubstep Darker,2011,Ministry Of Sound,4143647,5:36
"Yogi (31), Ayah Marar",Follow U (Xilent Remix),The Sound Of Dubstep Darker,2011,Ministry Of Sound,4143647,4:57
"DJ Die, Interface (7), William Cartwright",Bright Lights (Joker Remix),The Sound Of Dubstep Darker,2011,Ministry Of Sound,4143647,5:10
"Foreign Beggars, Black Sun Empire",Solace One,The Sound Of Dubstep Darker,2011,Ministry Of Sound,4143647,4:36
The Black Ghosts,Some Way Through This (Plastician & Skream Remix),The Sound Of Dubstep Darker,2011,Ministry Of Sound,4143647,5:51
"The Qemists, Wiley (2)",Dem Na Like Me (Subscape Dub),The Sound Of Dubstep Darker,2011,Ministry Of Sound,4143647,5:19
"Roksonix, Statelapse",Let's Go,The Sound Of Dubstep Darker,2011,Ministry Of Sound,4143647,4:56
"Dodge & Fuski, Kezza",Killing Me,The Sound Of Dubstep Darker,2011,Ministry Of Sound,4143647,4:51
Zomboy,Pirate Hooker,The Sound Of Dubstep Darker,2011,Ministry Of Sound,4143647,3:40
Skism (4),Rise Of The Idiots (Funtcase Remix),The Sound Of Dubstep Darker,2011,Ministry Of Sound,4143647,6:10
Skeptiks,Under The Bed,The Sound Of Dubstep Darker,2011,Ministry Of Sound,4143647,5:40
Amon Tobin,Surge (16Bit Remix),The Sound Of Dubstep Darker,2011,Ministry Of Sound,4143647,5:02
Teknian,Ruff (Coven Remix),The Sound Of Dubstep Darker,2011,Ministry Of Sound,4143647,5:49
Apollo (28),Killer,The Sound Of Dubstep Darker,2011,Ministry Of Sound,4143647,4:37
Dodge & Fuski,Filth,The Sound Of Dubstep Darker,2011,Ministry Of Sound,4143647,4:23
Kaney (3),Remake,The Sound Of Dubstep Darker,2011,Ministry Of Sound,4143647,3:42
"JFB, Southbound Hangers",Something Out There,The Sound Of Dubstep Darker,2011,Ministry Of Sound,4143647,4:41
SashaSlay,I Need A Touch,The Sound Of Dubstep Darker,2011,Ministry Of Sound,4143647,3:27
"Apollo (28), Joe Tano",Running Against The Clock,The Sound Of Dubstep Darker,2011,Ministry Of Sound,4143647,4:09
"Refix, Taji",Soldier,The Sound Of Dubstep Darker,2011,Ministry Of Sound,4143647,5:42
Chripsy,Open,The Sound Of Dubstep Darker,2011,Ministry Of Sound,4143647,6:04
"The Qemists, Maxsta",Renegate (Qemists VIP),The Sound Of Dubstep Darker,2011,Ministry Of Sound,4143647,5:01
Skit (5),Evaporate,The Sound Of Dubstep Darker,2011,Ministry Of Sound,4143647,3:53
Gully Floss,Gullystep,The Sound Of Dubstep Darker,2011,Ministry Of Sound,4143647,4:07
A-Bot,Took My Love,The Sound Of Dubstep Darker,2011,Ministry Of Sound,4143647,5:38
Various,The Sound Of Dubstep Darker - Mix 1,The Sound Of Dubstep Darker,2011,Ministry Of Sound,4143647,40:10
Various,The Sound Of Dubstep Darker - Mix 2,The Sound Of Dubstep Darker,2011,Ministry Of Sound,4143647,36:58
Metallica,Last Caress,Garage Singles                                     ,1999,Ministry Of Sound,12494208,3:58
Metallica,Bleeding Me,Garage Singles                                     ,1999,Ministry Of Sound,12494208,8:33
Metallica,Stone Cold Crazy,Garage Singles                                     ,1999,Ministry Of Sound,12494208,3:32
Metallica,The Wait,Garage Singles                                     ,1999,Ministry Of Sound,12494208,4:44
Metallica,Damage Inc.,Garage Singles                                     ,1999,Ministry Of Sound,12494208,4:56
Metallica,The Unforgiven II (Demo),Garage Singles                                     ,1999,Ministry Of Sound,12494208,7:15
Metallica,The Memory Remains (Demo),Garage Singles                                     ,1999,Ministry Of Sound,12494208,6:45
Metallica,Fuel (Work In Progress),Garage Singles                                     ,1999,Ministry Of Sound,12494208,4:43
"Goldie, Metalheads",Inner City Life,Drum&BassArena - The Classics,2005,Ministry Of Sound,803074,5:53
Rufige Kru,Terminator,Drum&BassArena - The Classics,2005,Ministry Of Sound,803074,3:58
Spirit,Calling Card,Drum&BassArena - The Classics,2005,Ministry Of Sound,803074,2:10
LTJ Bukem,Atlantis (I Need You),Drum&BassArena - The Classics,2005,Ministry Of Sound,803074,3:02
Krust,Warhead,Drum&BassArena - The Classics,2005,Ministry Of Sound,803074,2:20
Adam F,Circles (Original Mix),Drum&BassArena - The Classics,2005,Ministry Of Sound,803074,3:58
"DJ Marky & XRS, Stamina MC",LK (Carolina Carol Bela),Drum&BassArena - The Classics,2005,Ministry Of Sound,803074,2:14
UN-CUT,Midnight (M.I.S.T. V.I.P. Remix),Drum&BassArena - The Classics,2005,Ministry Of Sound,803074,2:45
Roni Size / Reprazent,Watching Windows (DJ Die Remix),Drum&BassArena - The Classics,2005,Ministry Of Sound,803074,2:23
Matrix,Sleepwalk,Drum&BassArena - The Classics,2005,Ministry Of Sound,803074,2:23
Roni Size / Reprazent,Brown Paper Bag,Drum&BassArena - The Classics,2005,Ministry Of Sound,803074,5:29
"D. Kay & Epsilon, Stamina MC",Barcelona,Drum&BassArena - The Classics,2005,Ministry Of Sound,803074,2:56
DJ Die,Clear Skyz,Drum&BassArena - The Classics,2005,Ministry Of Sound,803074,3:39
