artist,track,release_title,release_year,label,release_id,duration
"River Ocean, India","Love & Happiness (Yemaya Y Ochun) (12"" Club Mix)",The Tenth Anniversary Collection (Part One 1990 - 1995),2000,Ministry Of Sound,27257,9:48
"Desiya, Melissa Yiannakou",Comin' On Strong (Spagatini Mix),The Tenth Anniversary Collection (Part One 1990 - 1995),2000,Ministry Of Sound,27257,8:01
"Masters At Work, India","I Can't Get No Sleep (Ken/Lou 12"")",The Tenth Anniversary Collection (Part One 1990 - 1995),2000,Ministry Of Sound,27257,6:44
"Masters At Work, India",When You Touch Me (M.A.W. Touch Me Dub),The Tenth Anniversary Collection (Part One 1990 - 1995),2000,Ministry Of Sound,27257,9:42
Trey Lorenz,Photograph Of Mary (Masters At Work Dub),The Tenth Anniversary Collection (Part One 1990 - 1995),2000,Ministry Of Sound,27257,6:17
Voices,Voices In My Mind (Master-Vox Down),The Tenth Anniversary Collection (Part One 1990 - 1995),2000,Ministry Of Sound,27257,7:03
Chris Cuevas,Hip Hop (Masters At Work Dub),The Tenth Anniversary Collection (Part One 1990 - 1995),2000,Ministry Of Sound,27257,3:21
Lil Mo' Yin Yang,Reach ('Little' 'More' Mix),The Tenth Anniversary Collection (Part One 1990 - 1995),2000,Ministry Of Sound,27257,7:50
Masters At Work,Our Mute Horn (Ken Lou Mix),The Tenth Anniversary Collection (Part One 1990 - 1995),2000,Ministry Of Sound,27257,7:43
Kenlou,Moonshine,The Tenth Anniversary Collection (Part One 1990 - 1995),2000,Ministry Of Sound,27257,7:53
Urban Species,Listen (Just Listen) (Louies Master Mix),The Tenth Anniversary Collection (Part One 1990 - 1995),2000,Ministry Of Sound,27257,7:00
Masters At Work,The Ha Dance (Ken/Lou Mixx),The Tenth Anniversary Collection (Part One 1990 - 1995),2000,Ministry Of Sound,27257,5:56
Mondo Grosso,Souffles H (King St Club Mix),The Tenth Anniversary Collection (Part One 1990 - 1995),2000,Ministry Of Sound,27257,6:41
Martha Wash,"Carry On (Masters At Work 12"" Dance Mix)",The Tenth Anniversary Collection (Part One 1990 - 1995),2000,Ministry Of Sound,27257,6:45
Sole Fusion,Bass Tone (House Nation Mix),The Tenth Anniversary Collection (Part One 1990 - 1995),2000,Ministry Of Sound,27257,7:09
Lou²,"Freaky (The ""Bar Heads"" Mix)",The Tenth Anniversary Collection (Part One 1990 - 1995),2000,Ministry Of Sound,27257,9:47
The Experiment,Walk Away,What Goes Up,1999,Ministry Of Sound,45378,5:41
The Experiment,Point Blank,What Goes Up,1999,Ministry Of Sound,45378,5:16
The Experiment,Subway,What Goes Up,1999,Ministry Of Sound,45378,5:02
The Experiment,Brain Drain,What Goes Up,1999,Ministry Of Sound,45378,3:35
The Experiment,Hotel,What Goes Up,1999,Ministry Of Sound,45378,5:04
The Experiment,Holes,What Goes Up,1999,Ministry Of Sound,45378,3:58
The Experiment,Blue,What Goes Up,1999,Ministry Of Sound,45378,6:49
The Experiment,This Is What Funk Is For,What Goes Up,1999,Ministry Of Sound,45378,3:21
The Experiment,Cowboy Hero,What Goes Up,1999,Ministry Of Sound,45378,5:07
The Experiment,Chronicles,What Goes Up,1999,Ministry Of Sound,45378,12:52
Lux,Northern Lights,Café Del Mar - Volumen Siete,2000,Ministry Of Sound,61822,5:30
Moby,Whispering Wind,Café Del Mar - Volumen Siete,2000,Ministry Of Sound,61822,6:04
Deep & Wide,Easy Rider,Café Del Mar - Volumen Siete,2000,Ministry Of Sound,61822,4:51
Bush,Letting The Cables Sleep (The N.O.W. Remix),Café Del Mar - Volumen Siete,2000,Ministry Of Sound,61822,5:21
UKO,Sunbeams,Café Del Mar - Volumen Siete,2000,Ministry Of Sound,61822,4:22
