artist,track,release_title,release_year,label,release_id,duration
Madcon,Beggin' (Originally By The Four Seasons),Uncovered: A Unique Collection Of Cool Covers,2009,Ministry Of Sound,3212722,3:33
Yonderboi,Riders On The Storm (Originally By The Doors),Uncovered: A Unique Collection Of Cool Covers,2009,Ministry Of Sound,3212722,4:18
Pixie Lott,Use Somebody (Originally By Kings Of Leon),Uncovered: A Unique Collection Of Cool Covers,2009,Ministry Of Sound,3212722,3:03
Seu Jorge,Rebel Rebel (Originally By David Bowie),Uncovered: A Unique Collection Of Cool Covers,2009,Ministry Of Sound,3212722,2:17
José González,Heartbeats (Originally By The Knife),Uncovered: A Unique Collection Of Cool Covers,2009,Ministry Of Sound,3212722,2:35
Sexton Blake,Bette Davis Eyes (Originally By Kim Carnes),Uncovered: A Unique Collection Of Cool Covers,2009,Ministry Of Sound,3212722,4:07
The Vines,Ms. Jackson (Originally By Outkast),Uncovered: A Unique Collection Of Cool Covers,2009,Ministry Of Sound,3212722,3:25
Yael Naim,Toxic (Originally By Britney Spears),Uncovered: A Unique Collection Of Cool Covers,2009,Ministry Of Sound,3212722,4:07
Frente!,Bizzare Love Triangle (Originally By New Order),Uncovered: A Unique Collection Of Cool Covers,2009,Ministry Of Sound,3212722,1:55
My Brightest Diamond,Tainted Love (Originally By Soft Cell),Uncovered: A Unique Collection Of Cool Covers,2009,Ministry Of Sound,3212722,3:15
The Third Degree (2),Mercy (Originally By Duffy),Uncovered: A Unique Collection Of Cool Covers,2009,Ministry Of Sound,3212722,3:16
"Hollywood, Mon Amour",Call Me (Originally By Blondie),Uncovered: A Unique Collection Of Cool Covers,2009,Ministry Of Sound,3212722,2:56
Duffy,Live And Let Die (Originally By Paul McCartney),Uncovered: A Unique Collection Of Cool Covers,2009,Ministry Of Sound,3212722,2:48
[re:jazz],All I Need (Originally By Air),Uncovered: A Unique Collection Of Cool Covers,2009,Ministry Of Sound,3212722,3:49
Nouvelle Vague,Love Will Tear Us Apart (Originally By Joy Division),Uncovered: A Unique Collection Of Cool Covers,2009,Ministry Of Sound,3212722,3:02
Tom Hodge,Aerodynamic (Originally By Daft Punk),Uncovered: A Unique Collection Of Cool Covers,2009,Ministry Of Sound,3212722,2:49
Sparkadia,This Boy's In Love (Originally By The Presets),Uncovered: A Unique Collection Of Cool Covers,2009,Ministry Of Sound,3212722,3:45
The Dynamics (3),Seven Nation Army (Originally By The White Stripes),Uncovered: A Unique Collection Of Cool Covers,2009,Ministry Of Sound,3212722,5:08
Basement Jaxx,Magnificent Romeo (Originally By The Clash),Uncovered: A Unique Collection Of Cool Covers,2009,Ministry Of Sound,3212722,4:24
Señor Coconut And His Orchestra,Around The World (Originally By Daft Punk),Uncovered: A Unique Collection Of Cool Covers,2009,Ministry Of Sound,3212722,2:41
Flunk,Blue Monday (Originally By New Order),Uncovered: A Unique Collection Of Cool Covers,2009,Ministry Of Sound,3212722,4:09
Sarah Blasko,Don't Dream It's Over (Originally By Crowded House),Uncovered: A Unique Collection Of Cool Covers,2009,Ministry Of Sound,3212722,4:38
Faith No More,Easy (Originally By The Commodores),Uncovered: A Unique Collection Of Cool Covers,2009,Ministry Of Sound,3212722,3:08
Groove Armada,"Are ""Friends"" Electric? (Originally By Gary Numan)",Uncovered: A Unique Collection Of Cool Covers,2009,Ministry Of Sound,3212722,3:53
Williams,Love On A Real Train (Originally By Tangerine Dream),Uncovered: A Unique Collection Of Cool Covers,2009,Ministry Of Sound,3212722,5:02
I Monster,Daydream In Blue (Originally By Wallace Collection),Uncovered: A Unique Collection Of Cool Covers,2009,Ministry Of Sound,3212722,3:31
The Prodigy,Ghost Town (Originally By The Specials),Uncovered: A Unique Collection Of Cool Covers,2009,Ministry Of Sound,3212722,4:14
Cassettes Won't Listen,Need You Tonight (Originally By INXS),Uncovered: A Unique Collection Of Cool Covers,2009,Ministry Of Sound,3212722,3:11
Tiga,Hot In Here (Originally By Nelly),Uncovered: A Unique Collection Of Cool Covers,2009,Ministry Of Sound,3212722,3:28
Lady Sovereign,So Human (Originally By The Cure),Uncovered: A Unique Collection Of Cool Covers,2009,Ministry Of Sound,3212722,3:05
"Kiko, Stephane Deschezeaux",Rock Your Body (Originally By Justin Timberlake),Uncovered: A Unique Collection Of Cool Covers,2009,Ministry Of Sound,3212722,4:00
PJ Pooterhoots,No Go (Originally By Hall & Oates),Uncovered: A Unique Collection Of Cool Covers,2009,Ministry Of Sound,3212722,4:36
A.Human,A Horse With No Name (Originally By America),Uncovered: A Unique Collection Of Cool Covers,2009,Ministry Of Sound,3212722,3:39
Flat Pack,Sweet Child O' Mine (Originally By Guns N Roses),Uncovered: A Unique Collection Of Cool Covers,2009,Ministry Of Sound,3212722,3:51
Anoraak,Talking In Your Sleep (Originally By The Romantics),Uncovered: A Unique Collection Of Cool Covers,2009,Ministry Of Sound,3212722,4:42
Just Fascination,"The Rain (Originally By Oran ""Juice"" Jones)",Uncovered: A Unique Collection Of Cool Covers,2009,Ministry Of Sound,3212722,2:53
Placebo,Running Up That Hill (Originally By Kate Bush),Uncovered: A Unique Collection Of Cool Covers,2009,Ministry Of Sound,3212722,4:25
Bat For Lashes,A Forest (Originally By The Cure),Uncovered: A Unique Collection Of Cool Covers,2009,Ministry Of Sound,3212722,3:11
The Futureheads,With Every Heartbeat (Originally By Robyn),Uncovered: A Unique Collection Of Cool Covers,2009,Ministry Of Sound,3212722,2:18
Friendly Fires,Your Love (Originally By Frankie Knuckles),Uncovered: A Unique Collection Of Cool Covers,2009,Ministry Of Sound,3212722,4:33
Magic Arm,Daft Punk Is Playing At My House (Originally By LCD Soundsystem),Uncovered: A Unique Collection Of Cool Covers,2009,Ministry Of Sound,3212722,3:13
Cazals,To Cut A Long Story Short (Originally By Spandau Ballet),Uncovered: A Unique Collection Of Cool Covers,2009,Ministry Of Sound,3212722,2:40
WhoMadeWho,Satisfaction (Originally By Benny Benassi Presents The Biz),Uncovered: A Unique Collection Of Cool Covers,2009,Ministry Of Sound,3212722,3:21
Ben Lee,Kids,Uncovered Vol. 2: A Unique Collection Of Cool Covers,2010,Ministry Of Sound,3311321,
The XX,Teardrops,Uncovered Vol. 2: A Unique Collection Of Cool Covers,2010,Ministry Of Sound,3311321,
Florence And The Machine,Got The Love,Uncovered Vol. 2: A Unique Collection Of Cool Covers,2010,Ministry Of Sound,3311321,
Sarah Blasko,Flame Trees,Uncovered Vol. 2: A Unique Collection Of Cool Covers,2010,Ministry Of Sound,3311321,
Lisa Mitchell (2),Romeo And Juliet,Uncovered Vol. 2: A Unique Collection Of Cool Covers,2010,Ministry Of Sound,3311321,
Jamie Cullum,Don't Stop The Music,Uncovered Vol. 2: A Unique Collection Of Cool Covers,2010,Ministry Of Sound,3311321,
Gabriella Cilmi,Cry Me A River,Uncovered Vol. 2: A Unique Collection Of Cool Covers,2010,Ministry Of Sound,3311321,
William Fitzsimmons,Heartless,Uncovered Vol. 2: A Unique Collection Of Cool Covers,2010,Ministry Of Sound,3311321,
Anni B Sweet,Take On Me,Uncovered Vol. 2: A Unique Collection Of Cool Covers,2010,Ministry Of Sound,3311321,
The Gossip,Are U That Somebody,Uncovered Vol. 2: A Unique Collection Of Cool Covers,2010,Ministry Of Sound,3311321,
Lily Allen,Womanizer,Uncovered Vol. 2: A Unique Collection Of Cool Covers,2010,Ministry Of Sound,3311321,
Gin Wigmore,Cocaine,Uncovered Vol. 2: A Unique Collection Of Cool Covers,2010,Ministry Of Sound,3311321,
Angus & Julia Stone,You're The One That I Want,Uncovered Vol. 2: A Unique Collection Of Cool Covers,2010,Ministry Of Sound,3311321,
Lightspeed Champion,Back To Black,Uncovered Vol. 2: A Unique Collection Of Cool Covers,2010,Ministry Of Sound,3311321,
Angie Hart,Reckless,Uncovered Vol. 2: A Unique Collection Of Cool Covers,2010,Ministry Of Sound,3311321,
Anya Marina,Whatever You Like,Uncovered Vol. 2: A Unique Collection Of Cool Covers,2010,Ministry Of Sound,3311321,
Jesse Morris & The Three Beans,Tarantula,Uncovered Vol. 2: A Unique Collection Of Cool Covers,2010,Ministry Of Sound,3311321,
Amy Winehouse,Monkey Man,Uncovered Vol. 2: A Unique Collection Of Cool Covers,2010,Ministry Of Sound,3311321,
Florence And The Machine,Addicted To Love,Uncovered Vol. 2: A Unique Collection Of Cool Covers,2010,Ministry Of Sound,3311321,
Elizabeth & The Catapult,Everybody Knows,Uncovered Vol. 2: A Unique Collection Of Cool Covers,2010,Ministry Of Sound,3311321,
Katherine Jenkins,Bring Me To Life,Uncovered Vol. 2: A Unique Collection Of Cool Covers,2010,Ministry Of Sound,3311321,
Wild At Heart,Electric Feel,Uncovered Vol. 2: A Unique Collection Of Cool Covers,2010,Ministry Of Sound,3311321,
"Tania Bowers, Jori Hulkkonen",If I Know You,Uncovered Vol. 2: A Unique Collection Of Cool Covers,2010,Ministry Of Sound,3311321,
Chromeo,I Can't Tell You Why,Uncovered Vol. 2: A Unique Collection Of Cool Covers,2010,Ministry Of Sound,3311321,
Jumbonics,Last Nite,Uncovered Vol. 2: A Unique Collection Of Cool Covers,2010,Ministry Of Sound,3311321,
Tunng,Pioneers,Uncovered Vol. 2: A Unique Collection Of Cool Covers,2010,Ministry Of Sound,3311321,
The Slits,I Heard It Through The Grapevine,Uncovered Vol. 2: A Unique Collection Of Cool Covers,2010,Ministry Of Sound,3311321,
Tame Impala,Remember Me,Uncovered Vol. 2: A Unique Collection Of Cool Covers,2010,Ministry Of Sound,3311321,
The Big Pink,Sweet Dreams,Uncovered Vol. 2: A Unique Collection Of Cool Covers,2010,Ministry Of Sound,3311321,
Mai (2),Can’t Make A Sound,Uncovered Vol. 2: A Unique Collection Of Cool Covers,2010,Ministry Of Sound,3311321,
Primary 1,It Starts,Uncovered Vol. 2: A Unique Collection Of Cool Covers,2010,Ministry Of Sound,3311321,
Micky Green,! The Song Formerly Known As,Uncovered Vol. 2: A Unique Collection Of Cool Covers,2010,Ministry Of Sound,3311321,
"The Brighton Port Authority, Iggy Pop",He’s Frank Slight Return,Uncovered Vol. 2: A Unique Collection Of Cool Covers,2010,Ministry Of Sound,3311321,
"The Revenge (2), Danielle Moore",Just Be Good To Me,Uncovered Vol. 2: A Unique Collection Of Cool Covers,2010,Ministry Of Sound,3311321,
Kram (2),Glory Box,Uncovered Vol. 2: A Unique Collection Of Cool Covers,2010,Ministry Of Sound,3311321,
Hidden Cat,Shooting Stars,Uncovered Vol. 2: A Unique Collection Of Cool Covers,2010,Ministry Of Sound,3311321,
Friendly Fires,I’m Good I’m Gone,Uncovered Vol. 2: A Unique Collection Of Cool Covers,2010,Ministry Of Sound,3311321,
Air,The Way You Look Tonight,Uncovered Vol. 2: A Unique Collection Of Cool Covers,2010,Ministry Of Sound,3311321,
Bertie Blackman,In The Air Tonight,Uncovered Vol. 2: A Unique Collection Of Cool Covers,2010,Ministry Of Sound,3311321,
The Flaming Lips,Borderline,Uncovered Vol. 2: A Unique Collection Of Cool Covers,2010,Ministry Of Sound,3311321,
Adele (3),Make You Feel My Love,Uncovered Vol. 3: A Unique Collection Of Cool Covers,2011,Ministry Of Sound,3714707,
Little Roy,On A Plain,Uncovered Vol. 3: A Unique Collection Of Cool Covers,2011,Ministry Of Sound,3714707,
"The Bamboos, Megan Washington",King Of The Rodeo,Uncovered Vol. 3: A Unique Collection Of Cool Covers,2011,Ministry Of Sound,3714707,
Theophilus London,No Particular One,Uncovered Vol. 3: A Unique Collection Of Cool Covers,2011,Ministry Of Sound,3714707,
Mayer Hawthorne,Don't Turn The Lights On,Uncovered Vol. 3: A Unique Collection Of Cool Covers,2011,Ministry Of Sound,3714707,
Rotary Connection,Sunshine Of Your Love,Uncovered Vol. 3: A Unique Collection Of Cool Covers,2011,Ministry Of Sound,3714707,
"Ahmed Sirour, Cleveland P. Jones",Twice,Uncovered Vol. 3: A Unique Collection Of Cool Covers,2011,Ministry Of Sound,3714707,
Hypnolove,I Was Made For Loving You,Uncovered Vol. 3: A Unique Collection Of Cool Covers,2011,Ministry Of Sound,3714707,
PNAU,Solid Ground (King Creosote Cover Mix),Uncovered Vol. 3: A Unique Collection Of Cool Covers,2011,Ministry Of Sound,3714707,
Johnny Cash,Personal Jesus,Uncovered Vol. 3: A Unique Collection Of Cool Covers,2011,Ministry Of Sound,3714707,
Cat Power,New York,Uncovered Vol. 3: A Unique Collection Of Cool Covers,2011,Ministry Of Sound,3714707,
Mads Langer,You're Not Alone,Uncovered Vol. 3: A Unique Collection Of Cool Covers,2011,Ministry Of Sound,3714707,
Smoove + Turrell,Don't Go,Uncovered Vol. 3: A Unique Collection Of Cool Covers,2011,Ministry Of Sound,3714707,
Brassroots,Good Life,Uncovered Vol. 3: A Unique Collection Of Cool Covers,2011,Ministry Of Sound,3714707,
Deni Hlavinka,Woods,Uncovered Vol. 3: A Unique Collection Of Cool Covers,2011,Ministry Of Sound,3714707,
"Nouvelle Vague, Soko (5)",Sandy Sandy,Uncovered Vol. 3: A Unique Collection Of Cool Covers,2011,Ministry Of Sound,3714707,
Ms Mr,Time Of My Life,Uncovered Vol. 3: A Unique Collection Of Cool Covers,2011,Ministry Of Sound,3714707,
"Angus & Julia Stone, Daniel Johns, The Temper Trap, Australian Chamber Orchestra",The Ship Song Project,Uncovered Vol. 3: A Unique Collection Of Cool Covers,2011,Ministry Of Sound,3714707,
The XX,Hot Like Fire,Uncovered Vol. 3: A Unique Collection Of Cool Covers,2011,Ministry Of Sound,3714707,
Hot Chip,Transmission,Uncovered Vol. 3: A Unique Collection Of Cool Covers,2011,Ministry Of Sound,3714707,
Of Montreal,Jimmy,Uncovered Vol. 3: A Unique Collection Of Cool Covers,2011,Ministry Of Sound,3714707,
Zo!,Everything She Wants,Uncovered Vol. 3: A Unique Collection Of Cool Covers,2011,Ministry Of Sound,3714707,
"Miracle (13), Pete Murray",Better Dayz,Uncovered Vol. 3: A Unique Collection Of Cool Covers,2011,Ministry Of Sound,3714707,
"The Hood Internet, Freddie Gibbs, Class Actress, Telli",VCR,Uncovered Vol. 3: A Unique Collection Of Cool Covers,2011,Ministry Of Sound,3714707,
"Flight Facilities, Giselle Rosselli",Crave You (Ted & Francis Vocal Mix),Uncovered Vol. 3: A Unique Collection Of Cool Covers,2011,Ministry Of Sound,3714707,
"Edwin Van Cleef, Elizabeth Hanley",Lisztomania,Uncovered Vol. 3: A Unique Collection Of Cool Covers,2011,Ministry Of Sound,3714707,
"Richard X, Kelis",Finest Dreams,Uncovered Vol. 3: A Unique Collection Of Cool Covers,2011,Ministry Of Sound,3714707,
Discovery (7),I Want You Back,Uncovered Vol. 3: A Unique Collection Of Cool Covers,2011,Ministry Of Sound,3714707,
Tales In Space,Rolling In The Deep,Uncovered Vol. 3: A Unique Collection Of Cool Covers,2011,Ministry Of Sound,3714707,
